Site,comid,WtDepWs,OmWs,PermWs,RckDepWs
Site_3,8943613,172.37730000000002,2.0924,22.708000000000002,98.2895
Reference,15032969,182.88,0.59,3.37,48.76
Payson,10350360,182.88,1.6187,3.8166,121.5415
Dry_Creek,10329181,148.0868,0.8557,6.9016,152.4
San_Onofre,17594757,182.88,2.5925000000000002,2.7641,48.4945
Gaviota,17594763,182.88,1.9036000000000002,3.1836,64.2942
Arroyo_Hondo,17594741,182.88,2.5408,2.5067,52.3797
Rattlesnake,14937281,182.2981,0.6875,6.3312,88.97630000000001
Crow_Creek,12794143,162.3196,0.402,8.636000000000001,118.8131
Jones_Creek,12794005,163.4907,0.5162,9.5731,114.4377
Red_Bench_Creek,22950879,182.88,0.6692,4.6776,132.8595
Wally_Creek,22950913,182.88,0.8566,5.312,123.7123
Red_Meadow_Creek,22949989,182.47320000000002,0.8868,5.4110000000000005,121.27120000000001
Coal_Creek,22950067,182.719,1.0170000000000001,5.9472000000000005,116.0411
Logging_Creek,22949389,182.88,0.8981,5.1965,121.75290000000001
Akokala_Creek,22949619,182.88,0.7048,4.2712,130.407
Bowman_Creek,22949571,182.88,0.9941000000000001,5.7567,116.4375
Quartz_Creek,22949475,182.7449,0.863,5.0906,123.37440000000001
Trout_Creek,8944501,173.39190000000002,2.1032,25.2188,95.63470000000001
Cold_Creek,8944471,178.7353,1.7083000000000002,28.6458,82.79140000000001
Middle_Fork,14997923,174.67430000000002,1.7231,8.4266,106.1898
North_Fork,14997117,178.21460000000002,1.5951000000000002,6.022,100.3724
Coal,22957705,182.88,0.9657,5.3971,117.9213
Pinchot,22957733,182.88,1.0876000000000001,5.8129,111.61760000000001
Fish_Creek,22958009,182.88,0.6187,3.8748,134.0069
Lower_MacDonald_Creek,22957903,182.8436,0.9500000000000001,5.4501,118.02340000000001
Upper_MacDonald_Creek,22957933,182.88,1.0494,6.014200000000001,113.2386
DS1,2889268,173.8144,0.5266000000000001,12.842500000000001,108.3113
DS2,2889346,175.2974,0.7733,12.8231,91.90480000000001
DS3,2889356,175.29770000000002,0.7733,12.8232,91.902
US1,2889272,172.422,0.2787,12.7893,124.569
US2,2889272,172.422,0.2787,12.7893,124.569
Crane_Creek,11750409,174.3762,0.608,7.0677,103.9274
Wash_Branch,11750421,172.5831,0.5765,6.6539,107.1367
Control,8943655,173.8161,2.4691,9.4855,150.841
Site_1,8943617,161.9796,2.1732,11.3915,151.2019
Site_2,8943617,161.9796,2.1732,11.3915,151.2019
Camas_Creek,23075361,182.88,0.5531,17.7136,142.65290000000002
Grade_Creek,23074473,181.27460000000002,0.7919,11.921700000000001,135.0491
Rocky_Fire,8009327,180.20860000000002,0.8208000000000001,2.4213,82.2142
Wragg_Fire,15032969,182.88,0.59,3.37,48.76
PBR,2899241,169.3829,0.5299,15.6963,114.12320000000001
PSF,2899449,170.3603,0.5353,15.3915,111.61280000000001
PNF,2900989,172.3005,0.5346000000000001,14.4029,109.2732
Benjamin_Slough,10349048,165.7142,1.1486,5.3301,135.1456
Hobble_Creek_Lower,10348934,181.0474,0.9889,8.2734,134.1492
Hobble_Creek_Upper,10348934,181.0474,0.9889,8.2734,134.1492
Mill_Race,10376606,166.27870000000001,0.896,8.6264,142.32070000000002
Mitsubishi_Race,10329067,166.401,1.0456,6.915500000000001,141.1963
Provo_River,10376192,172.0369,1.1237000000000001,7.5585,133.2245
Spanish_Fork_Lower,10349108,182.3779,1.0785,4.813,126.22810000000001
Spanish_Fork_Upper,10349244,182.6448,1.1008,4.0796,124.5309
