"Study_ID","response_var","Koppen","Ne","Nc","Xe1","Xe2","Xe3","Xe4","Xe5","Xe6","Xe7","Xe8","Xe9","Xe10","Xc","percent_change1","percent_change2","percent_change3","percent_change4","percent_change5","percent_change6","percent_change7","percent_change8","percent_change9","percent_change10","Xc123","Xc4","Xc5","Climate"
"1","DOC_mg_C_L","Dfb",20,8,4.56666666666667,3.3,NA,NA,NA,NA,NA,NA,NA,NA,3.0875,47.9082321187584,6.88259109311739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cold"
"1","NH4_mg_per_L_as_NH4","Dfb",20,8,0.0819382852857354,0.0262888026607539,NA,NA,NA,NA,NA,NA,NA,NA,0.0262888026607539,211.685116827552,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cold"
"1","NO3_mg_per_L_as_Nitrate","Dfb",20,8,0.0848655914025,0.04544354839125,NA,NA,NA,NA,NA,NA,NA,NA,0.0172459677424516,392.089470825114,163.502455008013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cold"
"1","STDEV_DOC","Dfb",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.348477978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cold"
"1","TDN_mg_N_per_L","Dfb",16,6,0.601,0.26,NA,NA,NA,NA,NA,NA,NA,NA,0.128333333333333,368.311688311688,102.597402597403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cold"
"10","NH4_mg_per_L_as_NH4","BSk",12,6,16.8383333333333,30.0866666666667,NA,NA,NA,NA,NA,NA,NA,NA,14.165,18.8728085657136,112.401458995176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arid"
"10","NO3_mg_per_L_as_Nitrate","BSk",2,1,310,427.8,NA,NA,NA,NA,NA,NA,NA,NA,142.6,117.391304347826,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arid"
"10","STER_NH4","BSk",12,6,3.80833333333333,9.72333333333333,NA,NA,NA,NA,NA,NA,NA,NA,3.47333333333333,9.64491362763917,179.942418426104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arid"
"10","STER_NO3","BSk",2,1,12.4,415.4,NA,NA,NA,NA,NA,NA,NA,NA,62,-80,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arid"
"11","DOC_mg_C_L","Cfb",550,169,3.72720930232558,4.11550753768844,3.82720670391061,NA,NA,NA,NA,NA,NA,NA,2.65307692307692,40.4862885770733,55.1220585385612,44.2553991036184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Temperate"
"11","NH4_mg_per_L_as_NH4","Cfb",510,167,0.0790082395760268,0.0659872148952677,0.0593658787123734,NA,NA,NA,NA,NA,NA,NA,0.0465631929045536,69.6796002326986,41.7153996087209,27.4952919016165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Temperate"
"11","NO3_mg_per_L_as_Nitrate","Cfb",552,170,0.118636477868511,0.155927258066748,0.166253136200028,NA,NA,NA,NA,NA,NA,NA,0.0331754838701537,257.602856171879,370.007487086053,401.132513547444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Temperate"
"14","NO3_mg_per_L_as_Nitrate","Cfb",1,1,0.2190322581,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006774193548,3133.3333340419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Temperate"
"14","TN_mg_N_per_L","Cfb",1,1,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Temperate"
"15","DOC_mg_C_L","Dfb",8,5,3.9,3.6,2.9,2.2,4,2.6,1.5,1,NA,NA,1.82,114.285714285714,97.8021978021978,59.3406593406593,20.8791208791209,119.78021978022,42.8571428571429,-17.5824175824176,-45.0549450549451,NA,NA,NA,NA,NA,"Cold"
"15","STDEV_DOC","Dfb",8,5,0.4,0.5,0.3,0.3,0.6,0.3,0.1,0.1,NA,NA,0.26,53.8461538461539,92.3076923076923,15.3846153846154,15.3846153846154,130.769230769231,15.3846153846154,-61.5384615384615,-61.5384615384615,NA,NA,NA,NA,NA,"Cold"
"16","DOC_mg_C_L","Csa",62,18,4.50866165689655,5.56847752939394,NA,NA,NA,NA,NA,NA,NA,NA,4.05243034333333,11.2582148219714,37.4108141933805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Temperate"
"16","NH4_mg_per_L_as_NH4","Csa",59,19,0.105796934666667,0.165646705862069,NA,NA,NA,NA,NA,NA,NA,NA,0.0276075121052632,283.217923669758,500.005915891601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Temperate"
"16","NO3_mg_per_L_as_Nitrate","Csa",31,14,0.234798972857143,0.199363340588235,NA,NA,NA,NA,NA,NA,NA,NA,0.06726612,249.059783524221,196.38002100944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Temperate"
"17","NO3_mg_per_L_as_Nitrate","Dfc",3,1,0.3816129032,0.7338709677,0.7632258065,NA,NA,NA,NA,NA,NA,NA,0.1467741935,160.000000068132,400.000000136264,420.000000204396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cold"
"18","DOC_mg_C_L","Dfc",43,45,4.58139534790698,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.753875522,-3.62820131269358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cold"
"18","NO3_mg_per_L_as_Nitrate","Dfc",44,47,0.230498533636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.101633493404255,126.793870716947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cold"
"18","TDN_mg_N_per_L","Dfc",45,39,0.381534049777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.244565757179487,56.0046893636746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cold"
"19","TN_mg_N_per_L","As",1,3,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tropical"
"2","NO3_mg_per_L_as_Nitrate","BSk",309,66,0.0259453725929204,0.00875363242718447,0.00598625596774194,NA,NA,NA,NA,NA,NA,NA,0.004541983,471.234471659633,92.7271067986046,31.7982909170275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arid"
"21","NO3_mg_per_L_as_Nitrate","Csb",73,47,NA,0.0816857142857143,0.0796052631578947,NA,NA,NA,NA,NA,NA,NA,0.03105,NA,163.077984817115,156.377659123655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Temperate"
"21","TN_mg_N_per_L","Csb",80,46,NA,0.297184210526316,0.31597619047619,NA,NA,NA,NA,NA,NA,NA,0.283933333333333,NA,4.66689734432346,11.2853453191561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Temperate"
"22","DOC_mg_C_L","Dfc",83,76,1.14771944891566,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.685714285,67.3757531412172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cold"
"22","NO3_mg_per_L_as_Nitrate","Dfc",99,102,0.251461988484849,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0689916837254902,264.481593876425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cold"
