Study_ID,DOI,Design (Control/Burn; Pre/Post),Latitude,Longitude,Area_watershed,Area_unit,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,ha,Site_2,Dsb,DC,2003,Burn,0,Individual,,,,,87.4,ug_L,,,Supplemental,"This is a maybe. There are 4 separate wildfires and then there are 3 separate prescribed burns. They are in different watersheds but could be compounding effects that would be difficult to disentangle. I deleted the data that was listed as prescribed burn in the supplemental. I even deleted the sites that were listed as prescribed burn sites from table 1 but listed as W in the supplemental. Again, this is a maybe study."
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Site_2,Dsb,DC,2003,Burn,0,Individual,,,,,89.8,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Site_2,Dsb,DC,2003,Burn,0,Individual,,,,,106.5,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Control_2,Dsb,DC,2003,Unburn,0,Individual,,,,,2.3,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Control_2,Dsb,DC,2003,Unburn,0,Individual,,,,,13.8,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Control_2,Dsb,DC,2003,Unburn,0,Individual,,,,,3.8,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Site_1,Dsb,Ca,2004,Burn,1,Individual,,,,,140.7,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Site_1,Dsb,Ca,2004,Burn,1,Individual,,,,,549.4,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Control_1,Dsb,Ca,2004,Unburn,1,Individual,,,,,63.5,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Control_1,Dsb,Ca,2004,Unburn,1,Individual,,,,,2.7,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Control_1,Dsb,Ca,2004,Unburn,1,Individual,,,,,6.5,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Control_1,Dsb,Ca,2004,Unburn,1,Individual,,,,,27.9,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Control_1,Dsb,Ca,2004,Unburn,1,Individual,,,,,21.7,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.2,-115.233333,153,,Control_1,Dsb,Ca,2004,Unburn,1,Individual,,,,,10.3,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Site_2,Dsb,DC,2004,Burn,1,Individual,,,,,54.8,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Site_2,Dsb,DC,2004,Burn,1,Individual,,,,,25.3,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Site_2,Dsb,DC,2004,Burn,1,Individual,,,,,34.2,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Control_2,Dsb,DC,2004,Unburn,1,Individual,,,,,1.7,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Control_2,Dsb,DC,2004,Unburn,1,Individual,,,,,2.3,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Control_2,Dsb,DC,2004,Unburn,1,Individual,,,,,1.2,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Control_2,Dsb,DC,2004,Unburn,1,Individual,,,,,,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Control_2,Dsb,DC,2004,Unburn,1,Individual,,,,,,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.083333,-115.816667,21,,Control_2,Dsb,DC,2004,Unburn,1,Individual,,,,,,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Site_3,Dsb,Ha,2004,Burn,1,Individual,,,,,47.6,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Site_3,Dsb,Ha,2004,Burn,1,Individual,,,,,187,ug_L,,,Supplemental,
Stephan et al. 2015,10.1371/journal.pone.0119560,Control_Reference_vs_Impact,44.833333,-116.35,224,,Site_3,Dsb,Ha,2004,Burn,1,Individual,,,,,9.6,ug_L,,,Supplemental,
