Study_ID,DOI,Design_Control_Burn_Pre_Post,latitude,longitude,Area_watershed,Area_unit,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Neary & Currier; 1982,pdf,Control_Reference_vs_Impact,34.937946,-83.093596,366,ha,Control,Cfa,Crane Creek,  1979-04-04,Unburn,1,Individual,-9999,N/A,N/A,N/A,2.463444372,mg_N_L,N/A,N/A,Figure_3; Data extracted from Hampton et al. 2022,Only took data from the burned and control. Excluded the burned + fertilized. Data from figure 3 was extracted from Hampton et al. 2022. 
Neary & Currier; 1982,pdf,Control_Reference_vs_Impact,34.937946,-83.093596,366,ha,Control,Cfa,Crane Creek,  1979-03-23,Unburn,1,Individual,-9999,N/A,N/A,N/A,14.6026717,mg_N_L,N/A,N/A,Figure_3; Data extracted from Hampton et al. 2022,Only took data from the burned and control. Excluded the burned + fertilized. Data from figure 3 was extracted from Hampton et al. 2022. 
Neary & Currier; 1982,pdf,Control_Reference_vs_Impact,34.937946,-83.093596,366,ha,Control,Cfa,Crane Creek,  1979-02-23,Unburn,1,Individual,-9999,N/A,N/A,N/A,3.422834919,mg_N_L,N/A,N/A,Figure_3; Data extracted from Hampton et al. 2022,Only took data from the burned and control. Excluded the burned + fertilized. Data from figure 3 was extracted from Hampton et al. 2022. 
Neary & Currier; 1982,pdf,Control_Reference_vs_Impact,34.937946,-83.093596,366,ha,Control,Cfa,Crane Creek,  1979-02-12,Unburn,1,Individual,-9999,N/A,N/A,N/A,2.997427979,mg_N_L,N/A,N/A,Figure_3; Data extracted from Hampton et al. 2022,Only took data from the burned and control. Excluded the burned + fertilized. Data from figure 3 was extracted from Hampton et al. 2022. 
Neary & Currier; 1982,pdf,Control_Reference_vs_Impact,34.937946,-83.093596,366,ha,Control,Cfa,Crane Creek,  1979-01-02,Unburn,1,Individual,-9999,N/A,N/A,N/A,2.87817164,mg_N_L,N/A,N/A,Figure_3; Data extracted from Hampton et al. 2022,Only took data from the burned and control. Excluded the burned + fertilized. Data from figure 3 was extracted from Hampton et al. 2022. 
Neary & Currier; 1982,pdf,Control_Reference_vs_Impact,34.937946,-83.093596,366,ha,Control,Cfa,Crane Creek,  1978-12-04,Unburn,0,Individual,-9999,N/A,N/A,N/A,2.641438908,mg_N_L,N/A,N/A,Figure_3; Data extracted from Hampton et al. 2022,Only took data from the burned and control. Excluded the burned + fertilized. Data from figure 3 was extracted from Hampton et al. 2022. 
Neary & Currier; 1982,pdf,Control_Reference_vs_Impact,34.937946,-83.093596,366,ha,Control,Cfa,Crane Creek,  1978-11-02,Unburn,0,Individual,-9999,N/A,N/A,N/A,2.424285574,mg_N_L,N/A,N/A,Figure_3; Data extracted from Hampton et al. 2022,Only took data from the burned and control. Excluded the burned + fertilized. Data from figure 3 was extracted from Hampton et al. 2022. 
Neary & Currier; 1982,pdf,Control_Reference_vs_Impact,34.937946,-83.093596,366,ha,Control,Cfa,Crane Creek,  1978-10-16,Unburn,0,Individual,-9999,N/A,N/A,N/A,1.511173607,mg_N_L,N/A,N/A,Figure_3; Data extracted from Hampton et al. 2022,Only took data from the burned and control. Excluded the burned + fertilized. Data from figure 3 was extracted from Hampton et al. 2022. 
Neary & Currier; 1982,pdf,Control_Reference_vs_Impact,34.937946,-83.093596,366,ha,Control,Cfa,Crane Creek,  1978-09-12,Unburn,0,Individual,-9999,N/A,N/A,N/A,2.418945738,mg_N_L,N/A,N/A,Figure_3; Data extracted from Hampton et al. 2022,Only took data from the burned and control. Excluded the burned + fertilized. Data from figure 3 was extracted from Hampton et al. 2022. 
Neary & Currier; 1982,pdf,Control_Reference_vs_Impact,34.937946,-83.093596,366,ha,Control,Cfa,Crane Creek,  1978-08-31,Unburn,0,Individual,-9999,N/A,N/A,N/A,4.179311695,mg_N_L,N/A,N/A,Figure_3; Data extracted from Hampton et al. 2022,Only took data from the burned and control. Excluded the burned + fertilized. Data from figure 3 was extracted from Hampton et al. 2022. 
Neary & Currier; 1982,pdf,Control_Reference_vs_Impact,34.937946,-83.093596,366,ha,Control,Cfa,Crane Creek,  1978-08-25,Unburn,0,Individual,-9999,N/A,N/A,N/A,2.064736613,mg_N_L,N/A,N/A,Figure_3; Data extracted from Hampton et al. 2022,Only took data from the burned and control. Excluded the burned + fertilized. Data from figure 3 was extracted from Hampton et al. 2022. 
Neary & Currier; 1982,pdf,Control_Reference_vs_Impact,34.937946,-83.093596,366,ha,Control,Cfa,Crane Creek,  1978-08-10,Unburn,0,Individual,-9999,N/A,N/A,N/A,4.400024919,mg_N_L,N/A,N/A,Figure_3; Data extracted from Hampton et al. 2022,Only took data from the burned and control. Excluded the burned + fertilized. Data from figure 3 was extracted from Hampton et al. 2022. 
Neary & Currier; 1982,pdf,Control_Reference_vs_Impact,34.937946,-83.093596,366,ha,Control,Cfa,Crane Creek,  1978-08-06,Unburn,0,Individual,-9999,N/A,N/A,N/A,1.164084263,mg_N_L,N/A,N/A,Figure_3; Data extracted from Hampton et al. 2022,Only took data from the burned and control. Excluded the burned + fertilized. Data from figure 3 was extracted from Hampton et al. 2022. 
Neary & Currier; 1982,pdf,Control_Reference_vs_Impact,34.937946,-83.093596,366,ha,Control,Cfa,Crane Creek,  1978-08-04,Unburn,0,Individual,-9999,N/A,N/A,N/A,6.110552406,mg_N_L,N/A,N/A,Figure_3; Data extracted from Hampton et al. 2022,Only took data from the burned and control. Excluded the burned + fertilized. Data from figure 3 was extracted from Hampton et al. 2022. 
Neary & Currier; 1982,pdf,Control_Reference_vs_Impact,34.937946,-83.093596,366,ha,Control,Cfa,Crane Creek,  1978-07-29,Unburn,0,Individual,-9999,N/A,N/A,N/A,6.172850493,mg_N_L,N/A,N/A,Figure_3; Data extracted from Hampton et al. 2022,Only took data from the burned and control. Excluded the burned + fertilized. Data from figure 3 was extracted from Hampton et al. 2022. 
Neary & Currier; 1982,pdf,Control_Reference_vs_Impact,34.937946,-83.093596,366,ha,Control,Cfa,Crane Creek,  1978-07-22,Unburn,0,Individual,-9999,N/A,N/A,N/A,5.697605084,mg_N_L,N/A,N/A,Figure_3; Data extracted from Hampton et al. 2022,Only took data from the burned and control. Excluded the burned + fertilized. Data from figure 3 was extracted from Hampton et al. 2022. 
Neary & Currier; 1982,pdf,Control_Reference_vs_Impact,34.937946,-83.093596,366,ha,Control,Cfa,Crane Creek,  1978-07-14,Unburn,0,Individual,-9999,N/A,N/A,N/A,7.968815357,mg_N_L,N/A,N/A,Figure_3; Data extracted from Hampton et al. 2022,Only took data from the burned and control. Excluded the burned + fertilized. Data from figure 3 was extracted from Hampton et al. 2022. 
