Study_ID,DOI,Design_Control_Burn_Pre_Post,latitude,longitude,Area_watershed,Area_unit,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Abbott et al. 2021,10.1111/gcb.15507,Control_Reference_vs_Impact,68.932756,-150.7,16.01788092,km,Site_1,Dwc,BS.10,  2017-07-30,Burn,10,Individual,1591.081286,um,N/A,N/A,0.0617,um,N/A,N/A,supplemental,"Data manually extracted from supplemental. The units of these values are incorrect! DOC/NO3 is in uM. This paper just compares unburned and burned. So is it fair to separate these by site and then compare them to the unburned sites as the ""Control""."
Abbott et al. 2021,10.1111/gcb.15507,Control_Reference_vs_Impact,68.932756,-150.7,16.01788092,km,Site_1,Dwc,BS.10,  2017-08-31,Burn,10,Individual,1384.598733,um,N/A,N/A,0.084,um,N/A,N/A,supplemental,"Data manually extracted from supplemental. The units of these values are incorrect! DOC/NO3 is in uM. This paper just compares unburned and burned. So is it fair to separate these by site and then compare them to the unburned sites as the ""Control""."
Abbott et al. 2021,10.1111/gcb.15507,Control_Reference_vs_Impact,68.932756,-150.7,16.01788092,km,Site_1,Dwc,BS.10,  2018-06-05,Burn,11,Individual,644.5913782,um,N/A,N/A,1.9056,um,N/A,N/A,supplemental,"Data manually extracted from supplemental. The units of these values are incorrect! DOC/NO3 is in uM. This paper just compares unburned and burned. So is it fair to separate these by site and then compare them to the unburned sites as the ""Control""."
Abbott et al. 2021,10.1111/gcb.15507,Control_Reference_vs_Impact,68.932756,-150.7,16.01788092,km,Site_1,Dwc,BS.10,  2018-07-20,Burn,11,Individual,1468.218616,um,N/A,N/A,0.1657,um,N/A,N/A,supplemental,"Data manually extracted from supplemental. The units of these values are incorrect! DOC/NO3 is in uM. This paper just compares unburned and burned. So is it fair to separate these by site and then compare them to the unburned sites as the ""Control""."
Abbott et al. 2021,10.1111/gcb.15507,Control_Reference_vs_Impact,68.932756,-150.7,16.01788092,km,Site_1,Dwc,BS.10,  2018-08-25,Burn,11,Individual,396.4798055,um,N/A,N/A,0.3905,um,N/A,N/A,supplemental,"Data manually extracted from supplemental. The units of these values are incorrect! DOC/NO3 is in uM. This paper just compares unburned and burned. So is it fair to separate these by site and then compare them to the unburned sites as the ""Control""."
Abbott et al. 2021,10.1111/gcb.15507,Control_Reference_vs_Impact,68.9491428,-150.746,21.34597706,km,Control,Dwc,BS.11,  2017-06-09,Unburn,10,Individual,635.4334052,um,N/A,N/A,0.02465,um,N/A,N/A,supplemental,"Data manually extracted from supplemental. The units of these values are incorrect! DOC/NO3 is in uM. This paper just compares unburned and burned. So is it fair to separate these by site and then compare them to the unburned sites as the ""Control""."
Abbott et al. 2021,10.1111/gcb.15507,Control_Reference_vs_Impact,68.9491428,-150.746,21.34597706,km,Control,Dwc,BS.11,  2017-07-30,Unburn,10,Individual,1210.557407,um,N/A,N/A,0.0215,um,N/A,N/A,supplemental,"Data manually extracted from supplemental. The units of these values are incorrect! DOC/NO3 is in uM. This paper just compares unburned and burned. So is it fair to separate these by site and then compare them to the unburned sites as the ""Control""."
Abbott et al. 2021,10.1111/gcb.15507,Control_Reference_vs_Impact,68.9491428,-150.746,21.34597706,km,Control,Dwc,BS.11,  2017-08-31,Unburn,10,Individual,1433.721598,um,N/A,N/A,0.0909,um,N/A,N/A,supplemental,"Data manually extracted from supplemental. The units of these values are incorrect! DOC/NO3 is in uM. This paper just compares unburned and burned. So is it fair to separate these by site and then compare them to the unburned sites as the ""Control""."
Abbott et al. 2021,10.1111/gcb.15507,Control_Reference_vs_Impact,68.9491428,-150.746,21.34597706,km,Control,Dwc,BS.11,  2018-06-05,Unburn,11,Individual,857.2902218,um,N/A,N/A,0.1042,um,N/A,N/A,supplemental,"Data manually extracted from supplemental. The units of these values are incorrect! DOC/NO3 is in uM. This paper just compares unburned and burned. So is it fair to separate these by site and then compare them to the unburned sites as the ""Control""."
Abbott et al. 2021,10.1111/gcb.15507,Control_Reference_vs_Impact,68.9491428,-150.746,21.34597706,km,Control,Dwc,BS.11,  2018-07-20,Unburn,11,Individual,1427.14413,um,N/A,N/A,0.1408,um,N/A,N/A,supplemental,"Data manually extracted from supplemental. The units of these values are incorrect! DOC/NO3 is in uM. This paper just compares unburned and burned. So is it fair to separate these by site and then compare them to the unburned sites as the ""Control""."
Abbott et al. 2021,10.1111/gcb.15507,Control_Reference_vs_Impact,68.9491428,-150.746,21.34597706,km,Control,Dwc,BS.11,  2018-08-25,Unburn,11,Individual,1282.939379,um,N/A,N/A,0.303,um,N/A,N/A,supplemental,"Data manually extracted from supplemental. The units of these values are incorrect! DOC/NO3 is in uM. This paper just compares unburned and burned. So is it fair to separate these by site and then compare them to the unburned sites as the ""Control""."
Abbott et al. 2021,10.1111/gcb.15507,Control_Reference_vs_Impact,68.96492768,-150.732,28.40150316,km,Site_2,Dwc,BS.12,  2017-06-09,Burn,10,Individual,824.2650303,um,N/A,N/A,0.0507,um,N/A,N/A,supplemental,"Data manually extracted from supplemental. The units of these values are incorrect! DOC/NO3 is in uM. This paper just compares unburned and burned. So is it fair to separate these by site and then compare them to the unburned sites as the ""Control""."
Abbott et al. 2021,10.1111/gcb.15507,Control_Reference_vs_Impact,68.96492768,-150.732,28.40150316,km,Site_2,Dwc,BS.12,  2017-07-30,Burn,10,Individual,1379.767528,um,N/A,N/A,0.0568,um,N/A,N/A,supplemental,"Data manually extracted from supplemental. The units of these values are incorrect! DOC/NO3 is in uM. This paper just compares unburned and burned. So is it fair to separate these by site and then compare them to the unburned sites as the ""Control""."
Abbott et al. 2021,10.1111/gcb.15507,Control_Reference_vs_Impact,68.96492768,-150.732,28.40150316,km,Site_2,Dwc,BS.12,  2017-08-31,Burn,10,Individual,1418.734961,um,N/A,N/A,0.0702,um,N/A,N/A,supplemental,"Data manually extracted from supplemental. The units of these values are incorrect! DOC/NO3 is in uM. This paper just compares unburned and burned. So is it fair to separate these by site and then compare them to the unburned sites as the ""Control""."
Abbott et al. 2021,10.1111/gcb.15507,Control_Reference_vs_Impact,68.96492768,-150.732,28.40150316,km,Site_2,Dwc,BS.12,  2018-06-05,Burn,11,Individual,895.3297476,um,N/A,N/A,0.0223,um,N/A,N/A,supplemental,"Data manually extracted from supplemental. The units of these values are incorrect! DOC/NO3 is in uM. This paper just compares unburned and burned. So is it fair to separate these by site and then compare them to the unburned sites as the ""Control""."
Abbott et al. 2021,10.1111/gcb.15507,Control_Reference_vs_Impact,68.96492768,-150.732,28.40150316,km,Site_2,Dwc,BS.12,  2018-07-20,Burn,11,Individual,1488.256305,um,N/A,N/A,0.2511,um,N/A,N/A,supplemental,"Data manually extracted from supplemental. The units of these values are incorrect! DOC/NO3 is in uM. This paper just compares unburned and burned. So is it fair to separate these by site and then compare them to the unburned sites as the ""Control""."
Abbott et al. 2021,10.1111/gcb.15507,Control_Reference_vs_Impact,68.96492768,-150.732,28.40150316,km,Site_2,Dwc,BS.12,  2018-08-25,Burn,11,Individual,1303.115833,um,N/A,N/A,0.1175,um,N/A,N/A,supplemental,"Data manually extracted from supplemental. The units of these values are incorrect! DOC/NO3 is in uM. This paper just compares unburned and burned. So is it fair to separate these by site and then compare them to the unburned sites as the ""Control""."
Abbott et al. 2021,10.1111/gcb.15507,Control_Reference_vs_Impact,68.98182057,-150.821,8.708154502,km,Control,Dwc,BS.14,  2017-06-09,Unburn,10,Individual,721.4400493,um,N/A,N/A,0.0468,um,N/A,N/A,supplemental,"Data manually extracted from supplemental. The units of these values are incorrect! DOC/NO3 is in uM. This paper just compares unburned and burned. So is it fair to separate these by site and then compare them to the unburned sites as the ""Control""."
