Study_ID,DOI,Design_Control_Burn_Pre_Post,latitude,longitude,Area_watershed,Area_unit,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Gluns & Toews; 1989,pdf,Control_Reference_vs_Impact,49.70434,-116.118877,20.9,km,Site_1,Dfc,East Fork,  1985-08-12,Burn,0,Individual,-9999,N/A,N/A,N/A,0.022316721,mg_N_L,N/A,N/A,Figure_3; Hampton et al. 2022_Extracted,These are concentration differences between upstream and downstream sites on the same river for each siteI had to get access to this paper from the PNNL resource library. This paper also includes a time series of Q but I would have to extract it or find the USGS gauge. Hampton et al. 2022 extracted data from figure 3 so I used the data they extracted. 
Gluns & Toews; 1989,pdf,Control_Reference_vs_Impact,49.70434,-116.118877,20.9,km,Site_1,Dfc,East Fork,  1985-09-08,Burn,0,Individual,-9999,N/A,N/A,N/A,0.106712103,mg_N_L,N/A,N/A,Figure_3; Hampton et al. 2022_Extracted,These are concentration differences between upstream and downstream sites on the same river for each siteI had to get access to this paper from the PNNL resource library. This paper also includes a time series of Q but I would have to extract it or find the USGS gauge. Hampton et al. 2022 extracted data from figure 3 so I used the data they extracted. 
Gluns & Toews; 1989,pdf,Control_Reference_vs_Impact,49.70434,-116.118877,20.9,km,Site_1,Dfc,East Fork,  1985-10-06,Burn,0,Individual,-9999,N/A,N/A,N/A,0.06081124,mg_N_L,N/A,N/A,Figure_3; Hampton et al. 2022_Extracted,These are concentration differences between upstream and downstream sites on the same river for each siteI had to get access to this paper from the PNNL resource library. This paper also includes a time series of Q but I would have to extract it or find the USGS gauge. Hampton et al. 2022 extracted data from figure 3 so I used the data they extracted. 
Gluns & Toews; 1989,pdf,Control_Reference_vs_Impact,49.70434,-116.118877,20.9,km,Site_1,Dfc,East Fork,  1985-11-05,Burn,0,Individual,-9999,N/A,N/A,N/A,0.128310957,mg_N_L,N/A,N/A,Figure_3; Hampton et al. 2022_Extracted,These are concentration differences between upstream and downstream sites on the same river for each siteI had to get access to this paper from the PNNL resource library. This paper also includes a time series of Q but I would have to extract it or find the USGS gauge. Hampton et al. 2022 extracted data from figure 3 so I used the data they extracted. 
Gluns & Toews; 1989,pdf,Control_Reference_vs_Impact,49.70434,-116.118877,20.9,km,Site_1,Dfc,East Fork,  1985-12-18,Burn,0,Individual,-9999,N/A,N/A,N/A,0.096857084,mg_N_L,N/A,N/A,Figure_3; Hampton et al. 2022_Extracted,These are concentration differences between upstream and downstream sites on the same river for each siteI had to get access to this paper from the PNNL resource library. This paper also includes a time series of Q but I would have to extract it or find the USGS gauge. Hampton et al. 2022 extracted data from figure 3 so I used the data they extracted. 
Gluns & Toews; 1989,pdf,Control_Reference_vs_Impact,49.70434,-116.118877,20.9,km,Site_1,Dfc,East Fork,  1986-01-26,Burn,1,Individual,-9999,N/A,N/A,N/A,0.082298876000000007,mg_N_L,N/A,N/A,Figure_3; Hampton et al. 2022_Extracted,These are concentration differences between upstream and downstream sites on the same river for each siteI had to get access to this paper from the PNNL resource library. This paper also includes a time series of Q but I would have to extract it or find the USGS gauge. Hampton et al. 2022 extracted data from figure 3 so I used the data they extracted. 
Gluns & Toews; 1989,pdf,Control_Reference_vs_Impact,49.70434,-116.118877,20.9,km,Site_1,Dfc,East Fork,  1986-03-08,Burn,1,Individual,-9999,N/A,N/A,N/A,0.135298822,mg_N_L,N/A,N/A,Figure_3; Hampton et al. 2022_Extracted,These are concentration differences between upstream and downstream sites on the same river for each siteI had to get access to this paper from the PNNL resource library. This paper also includes a time series of Q but I would have to extract it or find the USGS gauge. Hampton et al. 2022 extracted data from figure 3 so I used the data they extracted. 
Gluns & Toews; 1989,pdf,Control_Reference_vs_Impact,49.70434,-116.118877,20.9,km,Site_1,Dfc,East Fork,  1986-04-06,Burn,1,Individual,-9999,N/A,N/A,N/A,0.195561848,mg_N_L,N/A,N/A,Figure_3; Hampton et al. 2022_Extracted,These are concentration differences between upstream and downstream sites on the same river for each siteI had to get access to this paper from the PNNL resource library. This paper also includes a time series of Q but I would have to extract it or find the USGS gauge. Hampton et al. 2022 extracted data from figure 3 so I used the data they extracted. 
Gluns & Toews; 1989,pdf,Control_Reference_vs_Impact,49.70434,-116.118877,20.9,km,Site_1,Dfc,East Fork,  1986-05-06,Burn,1,Individual,-9999,N/A,N/A,N/A,0.147244356,mg_N_L,N/A,N/A,Figure_3; Hampton et al. 2022_Extracted,These are concentration differences between upstream and downstream sites on the same river for each siteI had to get access to this paper from the PNNL resource library. This paper also includes a time series of Q but I would have to extract it or find the USGS gauge. Hampton et al. 2022 extracted data from figure 3 so I used the data they extracted. 
Gluns & Toews; 1989,pdf,Control_Reference_vs_Impact,49.70434,-116.118877,20.9,km,Site_1,Dfc,East Fork,  1986-05-17,Burn,1,Individual,-9999,N/A,N/A,N/A,0.086900273,mg_N_L,N/A,N/A,Figure_3; Hampton et al. 2022_Extracted,These are concentration differences between upstream and downstream sites on the same river for each siteI had to get access to this paper from the PNNL resource library. This paper also includes a time series of Q but I would have to extract it or find the USGS gauge. Hampton et al. 2022 extracted data from figure 3 so I used the data they extracted. 
