Study_ID,DOI,Design (Control/Burn; Pre/Post),Latitude,Longitude,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
"Betts & Jones, 2009",10.1657/1938-4246-41.4.407,Pre_Post,65.15,-147.5,,Dsc,C1,,,Pre,Mean,4.7,mg_C_L,,0.2,0.24,mg_N_L,,0.01,Table_2,Talk to AMP about the pre_post vs. the reference impact because we have both technically!
"Betts & Jones, 2009",10.1657/1938-4246-41.4.407,Pre_Post,,,,Dsc,C1,,,Post,Mean,5,mg_C_L,,0.1,0.34,mg_N_L,,0.01,Table_2,
"Betts & Jones, 2009",10.1657/1938-4246-41.4.407,Pre_Post,,,,Dsc,C2,,,Pre,Mean,3.3,mg_C_L,,0.1,0.51,mg_N_L,,0.01,Table_2,
"Betts & Jones, 2009",10.1657/1938-4246-41.4.407,Pre_Post,,,,Dsc,C2,,,Post,Mean,3.3,mg_C_L,,0.1,0.67,mg_N_L,,0.01,Table_2,
"Betts & Jones, 2009",10.1657/1938-4246-41.4.407,Pre_Post,,,,Dsc,C4,,,Pre,Mean,3.4,mg_C_L,,0.2,0.59,mg_N_L,,0.01,Table_2,
"Betts & Jones, 2009",10.1657/1938-4246-41.4.407,Pre_Post,,,,Dsc,C4,,,Post,Mean,3.3,mg_C_L,,0.1,0.73,mg_N_L,,0.01,Table_2,
"Betts & Jones, 2009",10.1657/1938-4246-41.4.407,Pre_Post,,,,Dsc,P6,,,Pre,Mean,5.7,mg_C_L,,0.2,0.28,mg_N_L,,0.01,Table_2,
"Betts & Jones, 2009",10.1657/1938-4246-41.4.407,Pre_Post,,,,Dsc,P6,,,Post,Mean,5.1,mg_C_L,,0.1,0.64,mg_N_L,,0.01,Table_2,
"Betts & Jones, 2009",10.1657/1938-4246-41.4.407,Control_Reference_vs_Impact_Pre_Post,,,Control,,C1,2002,,Pre,Mean,4.62,mg_C_L,,0.31,0.385,mg_N_L,,0.101,Table_3,
"Betts & Jones, 2009",10.1657/1938-4246-41.4.407,Control_Reference_vs_Impact_Pre_Post,,,Control,,C1,2003,,Pre,Mean,5.68,mg_C_L,,0.23,0.22,mg_N_L,,0.005,Table_3,
"Betts & Jones, 2009",10.1657/1938-4246-41.4.407,Control_Reference_vs_Impact_Pre_Post,,,Control,,C1,2004,,Pre,Mean,3.54,mg_C_L,,0.15,0.237,mg_N_L,,0.003,Table_3,
"Betts & Jones, 2009",10.1657/1938-4246-41.4.407,Control_Reference_vs_Impact_Pre_Post,,,Control,,C1,2005,,1,Mean,4.68,mg_C_L,,0.26,0.315,mg_N_L,,0.009,Table_3,
"Betts & Jones, 2009",10.1657/1938-4246-41.4.407,Control_Reference_vs_Impact_Pre_Post,,,Control,,C1,2006,,2,Mean,3.54,mg_C_L,,0.16,0.376,mg_N_L,,0.006,Table_3,
"Betts & Jones, 2009",10.1657/1938-4246-41.4.407,Control_Reference_vs_Impact_Pre_Post,,,Control,,C1,2007,,3,Mean,7.2,mg_C_L,,0.6,0.331,mg_N_L,,0.015,Table_3,
"Betts & Jones, 2009",10.1657/1938-4246-41.4.407,Control_Reference_vs_Impact_Pre_Post,,,Site_1,,P6,2002,,Pre,Mean,6.18,mg_C_L,,0.27,0.283,mg_N_L,,0.008,Table_3,
"Betts & Jones, 2009",10.1657/1938-4246-41.4.407,Control_Reference_vs_Impact_Pre_Post,,,Site_1,,P6,2003,,Pre,Mean,6.64,mg_C_L,,0.34,0.272,mg_N_L,,0.01,Table_3,
"Betts & Jones, 2009",10.1657/1938-4246-41.4.407,Control_Reference_vs_Impact_Pre_Post,,,Site_1,,P6,2004,,Pre,Mean,3.84,mg_C_L,,0.06,0.293,mg_N_L,,0.007,Table_3,
"Betts & Jones, 2009",10.1657/1938-4246-41.4.407,Control_Reference_vs_Impact_Pre_Post,,,Site_1,,P6,2005,,1,Mean,5.66,mg_C_L,,0.17,0.587,mg_N_L,,0.013,Table_3,
"Betts & Jones, 2009",10.1657/1938-4246-41.4.407,Control_Reference_vs_Impact_Pre_Post,,,Site_1,,P6,2006,,2,Mean,3.61,mg_C_L,,0.16,0.695,mg_N_L,,0.012,Table_3,
"Betts & Jones, 2009",10.1657/1938-4246-41.4.407,Control_Reference_vs_Impact_Pre_Post,,,Site_1,,P6,2007,,3,Mean,6.32,mg_C_L,,0.28,0.606,mg_N_L,,0.02,Table_3,
