Study_ID,DOI,Design (Control/Burn; Pre/Post),Latitude,Longitude,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,Control,Csb,Site_1,1/15/08,Unburn,1,Individual,,,,,0.027023499,mg_N_L,,,Figure_5,Exact coordinates were taken from Hampton. There are some other figures that are means for each site that we could use but I didn't take them for consistency purposes here because we'd rather have the individual ones one that the means draw from anyways. 
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,Control,Csb,Site_1,2/9/08,Unburn,1,Individual,,,,,0.027023499,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,Control,Csb,Site_1,2/18/08,Unburn,1,Individual,,,,,0.032245431,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,Control,Csb,Site_1,3/4/08,Unburn,1,Individual,,,,,0.03537859,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,Control,Csb,Site_1,3/28/08,Unburn,1,Individual,,,,,0.053133159,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,Control,Csb,Site_1,4/24/08,Unburn,1,Individual,,,,,0.068798956,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,Control,Csb,Site_1,5/13/08,Unburn,1,Individual,,,,,0.012402089,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,Control,Csb,Site_1,6/3/08,Unburn,1,Individual,,,,,0.012402089,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,Control,Csb,Site_1,6/25/08,Unburn,1,Individual,,,,,0.003002611,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,Control,Csb,Site_1,7/24/08,Unburn,1,Individual,,,,,0.001958225,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,Control,Csb,Site_1,8/20/08,Unburn,1,Individual,,,,,0.005091384,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,Control,Csb,Site_1,9/3/08,Unburn,1,Individual,,,,,0.005091384,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,Control,Csb,Site_1,12/27/08,Unburn,1,Individual,,,,,0.010169647,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,Control,Csb,Site_1,1/15/09,Unburn,2,Individual,,,,,0.034074394,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,Control,Csb,Site_1,2/4/09,Unburn,2,Individual,,,,,0.059018193,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,Control,Csb,Site_1,3/20/09,Unburn,2,Individual,,,,,0.064099749,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,Control,Csb,Site_1,4/21/09,Unburn,2,Individual,,,,,0.065049927,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,Control,Csb,Site_1,5/15/09,Unburn,2,Individual,,,,,0.039981964,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,Control,Csb,Site_1,6/19/09,Unburn,2,Individual,,,,,0.001342273,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,Control,Csb,Site_1,7/13/09,Unburn,2,Individual,,,,,0.001273003,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,5/10/09,Burn,2,Individual,,,,,0.023329674,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,5/3/09,Burn,2,Individual,,,,,0.078558919,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,4/26/09,Burn,2,Individual,,,,,0.035871497,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,4/18/09,Burn,2,Individual,,,,,0.052559076,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,4/9/09,Burn,2,Individual,,,,,0.038001882,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,3/18/09,Burn,2,Individual,,,,,0.099524258,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,3/3/09,Burn,2,Individual,,,,,0.113109055,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,2/25/09,Burn,2,Individual,,,,,0.033956765,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,2/7/09,Burn,2,Individual,,,,,0.088177018,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,2/3/09,Burn,2,Individual,,,,,0.048602834,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,1/22/09,Burn,2,Individual,,,,,0.002806096,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,1/7/09,Burn,2,Individual,,,,,0.069514586,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,1/2/09,Burn,2,Individual,,,,,0.06328027,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,12/29/08,Burn,1,Individual,,,,,0.054957392,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,11/9/08,Burn,1,Individual,,,,,0.094683187,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,5/23/08,Burn,1,Individual,,,,,0.003002611,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,5/1/08,Burn,1,Individual,,,,,0.025979112,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,4/22/08,Burn,1,Individual,,,,,0.019712794,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,4/12/08,Burn,1,Individual,,,,,0.046866841,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,4/7/08,Burn,1,Individual,,,,,0.03537859,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,4/3/08,Burn,1,Individual,,,,,0.100130548,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,3/13/08,Burn,1,Individual,,,,,0.305874674,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,3/6/08,Burn,1,Individual,,,,,0.232767624,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,2/28/08,Burn,1,Individual,,,,,0.262010444,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,2/10/08,Burn,1,Individual,,,,,0.245300261,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,2/8/08,Burn,1,Individual,,,,,0.175326371,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,Site_1,Csb,Site_2,1/15/08,Burn,1,Individual,,,,,0.141906005,mg_N_L,,,Figure_5,
