Study_ID,DOI,Design_Control_Burn_Pre_Post,latitude,longitude,Area_watershed,Area_unit,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2010-09-29,Burn,0,Individual,2,mg_C_L,,,0.004516129,mg_N_L,,,Figure_3,Don’t have exact coordinates for each watershed
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2010-10-12,Burn,0,Individual,2.94,mg_C_L,,,0.006774194,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2010-10-12,Burn,0,Individual,4.09,mg_C_L,,,0.022580645,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2010-10-12,Burn,0,Individual,3.2,mg_C_L,,,0.006774194,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2010-10-12,Burn,0,Individual,2.64,mg_C_L,,,0.006774194,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2010-10-12,Burn,0,Individual,2.26,mg_C_L,,,0.006774194,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-01-05,Burn,0,Individual,1.5,mg_C_L,,,0.047419355,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-02-07,Burn,0,Individual,1.2,mg_C_L,,,0.07,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-03-01,Burn,0,Individual,1.2,mg_C_L,,,0.04516129,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-03-04,Burn,0,Individual,1.3,mg_C_L,,,0.049677419,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-03-07,Burn,0,Individual,1.1,mg_C_L,,,0.056451613,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-03-09,Burn,0,Individual,1.1,mg_C_L,,,0.047419355,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-03-11,Burn,0,Individual,1.1,mg_C_L,,,0.036129032,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-03-14,Burn,0,Individual,1.1,mg_C_L,,,0.042903226,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-03-16,Burn,0,Individual,1.1,mg_C_L,,,0.02483871,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-03-18,Burn,0,Individual,1.3,mg_C_L,,,0.040645161,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-03-21,Burn,0,Individual,1.2,mg_C_L,,,0.042903226,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-03-24,Burn,0,Individual,1.2,mg_C_L,,,0.027096774,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-03-28,Burn,0,Individual,1.2,mg_C_L,,,0.020322581,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-03-31,Burn,0,Individual,1.4,mg_C_L,,,0.018064516,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-04-04,Burn,0,Individual,1.5,mg_C_L,,,0.018064516,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-04-07,Burn,0,Individual,1.5,mg_C_L,,,0.015806452,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-04-11,Burn,0,Individual,1.7,mg_C_L,,,0.004516129,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-04-14,Burn,0,Individual,1.5,mg_C_L,,,0.009032258,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-04-15,Burn,0,Individual,1.8,mg_C_L,,,0.015806452,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-04-15,Burn,0,Individual,1.8,mg_C_L,,,0.022580645,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-04-15,Burn,0,Individual,1.7,mg_C_L,,,0.020322581,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-04-15,Burn,0,Individual,1.9,mg_C_L,,,0.006774194,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-04-15,Burn,0,Individual,1.9,mg_C_L,,,0.011290323,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-04-15,Burn,0,Individual,1.9,mg_C_L,,,0.022580645,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-04-16,Burn,0,Individual,1.8,mg_C_L,,,0.031612903,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-04-16,Burn,0,Individual,1.7,mg_C_L,,,0.013548387,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-04-18,Burn,0,Individual,1.9,mg_C_L,,,0.02483871,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-04-21,Burn,0,Individual,2.7,mg_C_L,,,0.018064516,mg_N_L,,,Figure_3,
Murphy et al. 2018,10.1029/2017JG004349,Control_Reference_vs_Impact,40.039046,-105.393878,3700,ha,Site_1,Cfb,DS1,2011-04-25,Burn,0,Individual,2.6,mg_C_L,,,0.011290323,mg_N_L,,,Figure_3,
