Study_ID,Publication_Year,Title,DOI,Included,Exclusion,Type,Study_design,Fire_name,Fire_year,Ecosystem,Vegetation,Burn_Type,TSF,Where,latitude,longitude,Study_Duration_yrs,Sample_Freq,DOC,NO3,Notes,Discharge,Discharge_notes,Q_df_in_git,Closest_USGS_gauge,Data_citations,Q_Extracted,Exact_Date_Extracted,Watershed_Area,In_git_studies_folder,Sampling_Resolution,Sampling_exact_days,Number_of_Study_Sites
Abbott et al. 2021,2021,Tundra wildfire triggers sustained lateral nutrient loss in Alaskan Arctic,10.1111/gcb.15507,TRUE,Included,Site Study,Control/Reference vs. Impact,Anaktuvuk River wildfire ,2007,N/A,N/A,Natural,10 years ,Arctic Alaska,69.166667,-150.75,2,N/A,x,N/A,They have 21 unburned samples and 21 burned site samples from a fire that was 10 years ago. Figure 7 seems to have the goods. Summarized down to 1 burned site and 1 unburned site.,Specific_Discharge,The supplemental has estimated specific discharge on the day of sampling (L/M2/day),Y: in supplemental,Don’t need,N/A,Qs from supplemental and area of each watershed,Y,Y,Y,N/A,Y,42
Andres Sanchez et al. 2023,2023,Physical and biogeochemical drivers of solute mobilization and flux through the critical zone after wildfire,10.3389/frwa.2023.1148298,FALSE,Wrong study design,Site Study,Pre_post,Thompson Ridge Wildfire ,2013,N/A,N/A,Natural,3 pre and 6 post,Valles Caldera National Preserve in north central New Mexico,35.890813,-106.540854,9,N/A,x,x,This is a pre_post study design so im just putting it in here in case we decide to include these in the analysis. Figure 4 has time series of both DOC and nitrate,Yes,Figure 3: Pre- and post-fire daily discharge of La Jara; History Grove; and Upper Jaramillo flumes. The dashed lines indicate the simulated data of discharge obtained from the ANN models for La Jara and History Grove Creeks. The shaded red region marks the timing of the Thompson Ridge Wildfire from May 31 through June 30; 2013. Figure 5: Calculated annual fluxes and water yields of La Jara; History Grove; and Upper Jaramillo catchments The calculations presented above are sensitive to daily discharge data. Streamflow measurements were interrupted during the WYs 2014; 2015; 2016; and part of 2017 in La Jara and History Grove catchments due to the post-fire debris flow during the monsoon season of WY 2013 that damaged the gauging flumes installed at each location. ,Upper Jaramillo: Fig 3. extracted (not yet); History Grove: Fig 3. extracted (not yet); La Jara: Fig 3. extracted (not yet). I included the Volume weighted means and fluxes in a csv. Can I request this Q data?,Don’t need,N/A,Flux (mmol_m_year) from Table_S2,N_means_TSF,Y,Y,Year,N_pre_post,3
Bayley et al. 1992,1992,EFFECTS OF MULTIPLE FIRES ON NUTRIENT YIELDS FROM STREAMS DRAINING BOREAL FOREST AND FEN WATERSHEDS - NITROGEN AND PHOSPHORUS,10.1139/f92-068,FALSE,Wrong study design,Site Study,Pre_post,N/A,-9999,N/A,N/A,Natural,N/A,N/A,-9999,-9999,-9999,N/A,N/A,N/A,Don’t have access to Canadian Science publishing. Looking at the abstract it looks like they have nitrate data ,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,N/A,Y,3
Bayley et al. 1992,1992,EFFECTS OF FOREST-FIRE AND DROUGHT ON ACIDITY OF A BASE-POOR BOREAL FOREST STREAM - SIMILARITIES BETWEEN CLIMATIC WARMING AND ACIDIC PRECIPITATION,10.1007/BF00004041,FALSE,Wrong study design,Site Study,Pre_post,N/A,-9999,Lakes Region,Jackpine; Black Spruce; Paper Birch,Natural,N/A,Ontario; Canada,49.667,-93.733,15,mean annual,N/A,x,This is study_ID 6 in our original meta-analysis. Figure 2c has mean annual nitrate in ueQ/L. ,Yes,Annual discharge/Volume-weighted mean annual concentrations were calculated by estimating daily chemical concentrations and multiplying by daily discharge; the daily fluxes are then summed and divided by total discharge (in text and in figures),N,Don’t need,N/A,N/A,Y,Y,Y,Year,N,1
Betts & Jones; 2009,2009,Impact of Wildfire on Stream Nutrient Chemistry and Ecosystem Metabolism in Boreal Forest Catchments of Interior Alaska,10.1657/1938-4246-41.4.407,FALSE,Wrong study design,Site Study,Pre_post/control_reference,Boundary Fire ,2004,N/A,N/A,Natural,2 years pre and 3 years post,CPCRW,65.15,-147.5,3,N/A,x,x,This is study_ID 8 in the original meta_analysis. Table 2 has mean DOC concentration for pre/post data but Figure 3 has nitrate data also pre and post. Figure 5 is the same as 3 but with DOC. There are also control and reference post burn if we just want to do that data ,Yes,Summer discharge average (L/s) for each site (C1;C2;C4;P6) (Table 1),C1: Table 1 extracted (not yet); C2: Table 1 extracted (not yet); C4: Table 1 extracted (not yet); P6: C1: Table 1 extracted (not yet). Should email Jay to see if he has the time series data because these are just summer averages of Q,would need to request,N/A,N/A,N_means_TSF,Y,Y,mean,N,4
Bladon et al. 2008,2008,Wildfire impacts on nitrogen concentration and production from headwater streams in southern Alberta's Rocky Mountains,10.1139/X08-071,FALSE,Site concentrations are averaged together by burned or reference ,Site Study,Control/Reference vs. Impact,Lost Creek Wildfire ,2003,Montane,Lodgepole pine,Natural,N/A,Alberta Canada,49.616667,-114.666667,3,bi-weekly; bi-monthly; event based,N/A,x,This is study_ID 26 in our original meta-analysis. Figure 3 has mean nitrate values. Burned and unburned sites are averaged together so we can't get each site.,Yes,Mean daily Q for the burned and the reference watersheds (Fig 2). Also has nutrient yields for each burned watershed and reference watershed (table 4),Reference: Fig. 2 extracted (not yet); Burn: Fig. 2 extracted (not yet): Can we get Kevin to send us over this data?,Canada,N/A,N/A,Y,Y_mean_of_burn_reference,Y,N/A,Y,5
Burd et al 2018,2018,Seasonal shifts in export of DOC and nutrients from burned and unburned peatland-rich catchments; Northwest Territories; Canada,10.5194/hess-22-4455-2018,TRUE,Included,Site Study,Control/Reference vs. Impact,Northwest Territories Fire ,2013,N/A,N/A,Natural,3,Scotty Creek/Notawohka Creek in Northwest territories in Canada,61.4,-121.433333,0.5,bi-weekly,x,N/A,Figure 4 has DOC data for both a control and a burn,Not_for_all ,Figure 3 has 2016 hydrograph for Scotty Creek (Reference site). SC outlet has been monitored by Water Survey of Canada since 1995 (wateroffice.ec.gc.ca; last access: 16 August 2018)                                                                                Cumulative run-off and solute yield from Scotty Creek and Notawohka Creek catchments during the 2016 study period (Table 1). Notawohka Creek catchment discharge was calcualted by them using HOBOs and Swoffers. I dont see the data within the paper but it is available upon request. Yes_for_reference_burn_upon_Request,N/A,Don’t need,N/A,N/A,N/A,Y,Y,Month,N,2
Caldwell et al. 2020,2020,Watershed-scale vegetation; water quantity; and water quality responses to wildfire in the southern Appalachian mountain region; United States,10.1002/hyp.13922,TRUE,Included,Site Study,Control/Reference vs. Impact,Camp Branch Fire_Tellico Fire ,2016,Marine,N/A,Natural,0-2 ,Nantahala National Forest-NC,35,-83,2,Weekly,x,x,Figure 5 has nitrate-N data for both the unburned and the burned site. Table 4 has mean analyte concentrations in baseflow samples from 2016-2018. ,Yes,Figure 3 has daily Q for burned watersheds and assoicated unburned watersheds, CA/AR/CA-TO/AR-UP/IN/CH/IR/TE - Fig. 3 extracted (not yet),Little Tennessee River at Needmore; NC - 03503000. This is the closest USGS gauge to the sites. None of the sites are actually USGS gauged. This starts in 1985,N/A,N/A,N_means_TSF,Y,Y,Year,N,8
Chow et al. 2019,2019,Lasting Effects of Wildfire on Disinfection By-Product Formation in Forest Catchments,10.2134/jeq2019.04.0172,TRUE,Included,Site Study,Control/Reference vs. Impact,Hayman Fire,2002,N/A,N/A,Natural,12 to 13,Hayman Fire,39.177683,-105.26552,2,Monthly average,x,N/A,This is Study_ID_15; Table 1 has the data,Yes,Average annual yields of Q and DOC - for all the watersheds (burned and unburned)-Table 2,N- can either back calculate from yield or can request,Don’t need,N/A,Yield (kg_km_year),N_means_TSF,Y,Y,mean,N,13
Coombs & Melack; 2013,2013,Initial impacts of a wildfire on hydrology and suspended sediment and nutrient export in California chaparral watersheds,10.1002/hyp.9508,TRUE,Included,Site Study,Control/Reference vs. Impact,Gaviota Fire ,2004,N/A,N/A,Natural,N/A,N/A,-9999,-9999,-9999,N/A,N/A,N/A,N/A,Yes,Figure 1 shows that there looks like there are SBC LTER stream gauges at all of the sites. Figure 6 has cumulative nitrate export for the year. ,Y: from (https://sbclter.msi.ucsb.edu/data/catalog/),LTER data,Melack; J. 2019. SBC LTER: Land: Hydrology: Stream discharge and associated parameters at Gaviota Creek; Hwy 101 South Rest Stop (GV01) ver 9. Environmental Data Initiative. https://doi.org/10.6073/pasta/3cdf7fd60f88f0822ecfad5a92edf9d6. Accessed 2023-09-25. 2) Melack; J. 2019. SBC LTER: Land: Hydrology: Stream discharge and associated parameters at Arroyo Hondo Creek ; Upstream Side of 101 Bridge (HO00) ver 9. Environmental Data Initiative. https://doi.org/10.6073/pasta/85f4639ac0ac76c1eb4b3a82842ce171. Accessed 2023-09-25. 3) Melack; J. 2022. SBC LTER: Land: Hydrology: Stream discharge and associated parameters at San Onofre Creek at Highway 101 (ON02) ver 8. Environmental Data Initiative. https://doi.org/10.6073/pasta/6f5c2b7109bcfde37f47b0974ac64b2e. Accessed 2023-09-25. 4) Melack; J. 2019. SBC LTER: Land: Hydrology: Stream discharge and associated parameters at Rattlesnake Creek; Las Canoas Rd (RS02) ver 9. Environmental Data Initiative. https://doi.org/10.6073/pasta/00ad8507a9eed8e923867c67d907af12. Accessed 2023-09-25.,N/A,Y,Y,Y,N/A,Y,4
