DateTime,SiteCode,SampleCode,SamplingMethod,Offset,SampleType,SampleMedium,pH,EC,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,Be9,B11,Na23,Mg24,Al27,Si28,P31,K39,Ca40,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Sr88,Y89,Zr90,Mo98,Ag107,Cd111,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,Tl205,Pb208,U238,NH4-N,Ortho-P,FI,HIX,SUVA254,SUVA280,dD,d18O,SamplingNote
MST,,,,hr,,,pH,uS/cm,mg/L,mg/L,mg/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ug/L,ug/L,ng/L,mg/L,mg/L,nm/nm,nm/nm,L/(mg.cm),L/(mg.cm),‰,‰,
(Detection limit),,,,,,,,,0.00025,0.00028,0.00017,1.32,1.37,1.48,0.98,0.8,1.03,1.51,0.0038,0.1044,0.0262,0.0071,0.0045,2.0251,0.5926,0.0961,0.0318,0.0433,0.0108,0.0089,0.0043,0.0081,0.007,0.0025,0.0041,0.0276,0.0195,0.0218,0.0413,0.48,0.0026,0.0016,0.0015,0.0015,0.0015,0.0028,0.0037,0.41,0.35,0.32,2.46,2.8,0.42,1.41,0.23,0.87,0.21,0.45,0.41,0.52,0.22,0.0254,0.0014,2.3811,0.01,0.01,,,0.004,0.004,0.4,0.1,
(Lab Method),,,,,,,PH_EC2,PH_EC2,TOC-VCSH,TOC-VCSH,TOC-VCSH,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,SmartChem200,SmartChem200,Fluoromax4,Fluoromax4,UV_Vis,UV_Vis,WIA_LGR,WIA_LGR,
5/20/2015 13:15,RainColl_MCZOB,NM_P397,PrcpColl,49.3,Grab,Precipitation,7.2,-9999,1.357,3.452,1.345,0.66,18.145,0.74,0.49,23.201,27.101,0.755,0.1883,1.724,422.3737,150.6001,4.7459,34.1327,100.0698,217.8747,2130.1981,0.7431,0.2675,0.106,2.8743,21.2326,0.109,0.7926,1.1196,17.4637,0.327,0.6787,21.5398,26.9495,0.0013,0.0297,0.0099,0.0268,0.0495,0.1377,4.1415,16.6255,31.6062,17.1704,29.0301,52.3137,12.7812,16.4471,12.5038,15.813,14.3466,7.8272,0.205,20.7571,2.6751,0.1982,0.0456,11.4932,0.6236,0.002,1.3107,2.063,0.002,0.002,-34.38,-6.55,Sampled by: Kate | Field Note: Set up collector on 5/18/2015 12:00 | Volume: 500 ml | Description: bulk ppt w/o oil; open canopy | Bottles used: 500 mL HDPE
5/20/2015 13:25,RainColl_MCZOB_CC,NM_P398,PrcpColl,49.3,Grab,Precipitation,6.93,-9999,2.552,19.04,1.061,3.232,30.212,0.74,0.49,14.943,16.312,0.755,0.2006,8.6445,364.3334,301.8562,28.8518,118.3357,262.7453,3445.4609,2085.9165,1.0229,0.2507,0.0903,81.3016,30.5166,0.1705,0.5215,1.5845,12.1605,0.361,0.8976,13.0771,76.0156,0.1003,0.0702,0.0008,0.0632,0.0501,0.1143,14.1903,58.9673,129.6678,24.7402,96.2731,37.6067,19.4552,42.1195,7.4812,36.5035,17.5026,9.8279,9.3666,17.2991,0.11,0.2006,0.1444,17.3693,0.3704,0.1709,1.2945,3.0886,0.0277,0.0212,-34.48,-6.69,Sampled by: Kate | Field Note: Set up collector on 5/18/2015 12:10 | Volume: 500 ml | Description: bulk ppt w/o oil; closed canopy | Bottles used: 500 mL HDPE
5/20/2015 11:15,RainColl_Burn_Low_OC,NM_P400,PrcpColl,42.8,Grab,Precipitation,6.94,-9999,1.822,3.312,0.334,0.66,12.864,0.74,0.49,10.694,16.288,0.755,0.1979,1.761,269.3944,169.1753,6.0646,31.3123,185.9939,507.427,1266.3414,1.0388,0.1682,0.089,33.8064,12.2776,0.089,0.376,0.7717,6.2684,0.3265,0.7865,14.6817,13.7764,0.0013,0.0495,0.0099,0.0604,0.0396,0.0811,4.8972,6.7769,16.0074,6.1338,12.0698,43.3326,6.0349,16.225,9.3591,19.7569,8.805,13.3559,9.2403,0.26,8.4093,0.0989,0.1167,4.8477,0.1202,0.0961,1.4488,1.1868,0.0118,0.0103,-35.72,-6.44,Sampled by: Kate | Field Note: Set up collector on 5/18/2015 16:30 | Volume: 500 ml | Description: bulk ppt w/o oil; open canopy | Bottles used: 500 mL HDPE
5/20/2015 11:25,RainColl_Burn_Low_CC,NM_P401,PrcpColl,42.8,Grab,Precipitation,6.72,-9999,1.649,27.81,0.314,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.2701,7.6213,657.4103,249.0418,49.4783,130.0218,117.0196,1750.2935,2130.3573,0.9302,0.3301,0.5701,83.585,35.1359,0.24,0.7201,2.9705,8.3374,0.5801,0.9052,17.743,87.1146,0.1,0.07,0.01,0.062,0.05,0.138,10.7518,49.1082,121.3204,24.7942,67.1113,50.5085,12.4021,15.3026,11.3119,21.9407,17.2099,24.4041,6.7011,34.5258,10.8018,0.1,0.9502,19.5133,-9999,-9999,1.3155,3.0732,0.016,0.013,-32.3,-6.28,Sampled by: Kate | Field Note: Set up collector on 5/18/2015 16:35; Sample too dirty too filter | Volume: 500 ml | Description: bulk ppt w/o oil; closed canopy | Bottles used: 500 mL HDPE
5/26/2015 11:33,RainColl_MCZOB,NM_P403,PrcpColl,142.3,Grab,Precipitation,7.14,-9999,0.39,1.874,0.462,0.66,1.733,0.74,0.49,5.576,3.13,0.755,0.2299,0.4099,45.1855,19.7137,3.189,11.8462,103.9666,34.6888,120.9611,0.5298,0.09,0.022,1.8504,2.1693,0.02,0.13,0.1899,110.2905,0.2799,0.6048,0.8997,17.8543,0.0013,0.03,0.01,0.051,0.02,0.088,1.9094,11.0065,14.1355,10.9965,10.6966,43.486,10.0968,10.7965,6.268,35.8885,10.1367,17.1945,2.8991,15.3951,10.5966,0.1,0.042,6.298,0.1859,0.0022,1.2709,0.6024,0.002,0.002,-67.14,-9.64,Sampled by: Kate | Field Note:  | Volume: 500 ml | Description: bulk ppt w/o oil; open canopy | Bottles used: 500 mL HDPE
5/26/2015 12:00,RainColl_MCZOB_CC,NM_P404,PrcpColl,142.6,Grab,Precipitation,7.03,-9999,1.867,14.91,1.052,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0019,6.7293,228.2754,183.9802,33.9664,138.9851,304.9672,4484.3255,1689.8182,1.5298,0.36,0.11,60.1645,37.026,0.12,0.37,1.1799,5.6954,0.42,1.2549,7.4392,78.9915,0.0013,0.07,0.01,0.061,0.03,0.07,22.4476,86.5907,122.2869,32.9865,97.0896,43.8953,7.9991,46.895,16.8982,40.8956,16.5882,8.5991,9.099,16.4982,9.799,0.2,0.097,11.2988,-9999,-9999,1.3138,2.0782,0.0284,0.022,-9999,-9999,Sampled by: Kate | Field Note:  | Volume: 250 ml | Description: bulk ppt w/o oil; closed canopy | Bottles used: 500 mL HDPE
5/26/2015 16:45,RainColl_Burn_Low_OC,NM_P406,PrcpColl,149.5,Grab,Precipitation,7.14,-9999,0.69,3.001,0.538,0.66,3.348,0.74,0.49,8.24,4.489,0.755,0.2997,0.6193,187.088,43.3708,3.8257,7.6413,123.8596,144.736,275.6875,0.5993,0.1398,0.1089,9.3504,4.5079,0.0599,0.1898,0.4595,2.7429,0.2597,0.6443,1.798,18.5889,0.0013,0.0499,0.01,0.0499,0.02,0.03,4.3051,5.5038,11.2073,17.1805,23.3735,58.0242,21.9451,37.6573,12.0963,30.3856,15.8321,7.1919,6.9921,19.1383,11.1873,0.0999,0.048,3.6958,0.0508,0.0262,1.3971,0.3246,0.006,0.0057,-60.13,-7.46,Sampled by: Kate | Field Note:  | Volume: 500 ml | Description: bulk ppt w/o oil; open canopy | Bottles used: 500 mL HDPE
5/26/2015 16:50,RainColl_Burn_Low_CC,NM_P407,PrcpColl,149.4,Grab,Precipitation,5.79,-9999,2.123,67.58,0.234,8.604,9.364,0.74,0.49,0.4,5.225,0.755,0.3597,6.1343,187.1261,128.8802,32.34,121.8867,210.8041,2327.8369,1078.9974,0.9591,0.2298,0.1059,57.6175,19.5119,0.1299,0.2298,1.4387,9.4173,0.5994,0.8642,6.1343,61.1432,0.0999,0.0599,0.0008,0.059,0.04,0.051,12.4384,37.1655,77.9276,24.6471,51.2424,72.073,7.6929,19.6817,9.9308,34.8676,8.8917,6.3941,2.0981,11.3894,13.7872,0.0999,0.2837,12.3885,0.0863,0.1162,1.3372,2.9559,0.005,0.004,-57.54,-8.45,Sampled by: Kate | Field Note:  | Volume: 500 ml | Description: bulk ppt w/o oil; closed canopy | Bottles used: 500 mL HDPE
6/9/2015 11:30,RainColl_MCZOB,NM_P409,PrcpColl,336,Grab,Precipitation,6.12,-9999,2.46,3.141,1.508,0.66,16.077,0.74,0.49,34.461,16.056,0.755,0.0197,104.1115,236.7651,155.8704,11.6706,108.6948,147.4788,1400.8601,1736.2773,0.7606,0.7794,0.0888,26.6361,18.6453,0.0987,0.2861,1.3022,100.3292,0.4045,0.0493,6.8958,21.1902,0.0619,0.1805,0.0493,0.0987,2.1605,1.4768,16.8695,19.5511,41.7866,5.371,20.0469,4.21,1.3714,1.8647,1.1252,4.6637,1.1952,2.9332,0.2477,2.2319,0.8361,10.1612,0.0197,1.5165,-9999,-9999,-9999,-9999,-9999,-9999,-41.53,-6.47,Sampled by: Kate | Field Note:  | Volume: 400 ml | Description: bulk ppt w/o oil; open canopy | Bottles used: 500 mL HDPE
6/9/2015 11:35,RainColl_MCZOB_CC,NM_P410,PrcpColl,335.6,Grab,Precipitation,8.02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.1226,146.2544,2197.7138,2193.6515,22.9883,2949.2425,1541.7289,57278.677,28233.1068,1.3354,0.5313,0.1533,5.415,279.6395,1.3997,1.6786,3.3369,1.9821,1.5581,0.3269,78.9775,159.438,0.1447,0.2217,0.0613,0.1022,2.2375,0.3269,184.6214,140.9016,133.2673,38.6362,147.1013,30.947,3.5775,4.0884,5.7415,31.2907,6.866,18.4421,2.2204,15.5977,2.829,11.5452,0.0511,21.5965,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sampled by: Kate | Field Note:  | Volume: 10 ml | Description: bulk ppt w/o oil; closed canopy | Bottles used: 500 mL HDPE
