Study_ID,response_var,Pair,year,meanConc,Site,latitude,longitude,Area_watershed_km,Climate,Burn_Unburn,TempNorm
Burd et al 2018,DOC_Interp,Control,2016,23.20137822185484,Scotty Creek,61.4,-121.433,134,Dfc,Unburn,0.173144613596
Burd et al 2018,DOC_Interp,Site_1,2016,24.787668797761196,Notawohka Creek,61.133333,-120.283333,321,Dfc,Burn,0.077220152018
Hickenbottom et al. 2023,DOC_Interp,Control_1,2021,1.6656436205428924,Cold_Creek,38.898689,-119.948785,30.3471,Csb,Unburn,0.05488641816
Hickenbottom et al. 2023,DOC_Interp,Control_1,2022,1.6522617694327937,Cold_Creek,38.898689,-119.948785,30.3471,Csb,Unburn,0.054445458361
Hickenbottom et al. 2023,DOC_Interp,Control_2,2022,1.0666666666666667,North_Fork,39.000053,-120.939907,856.9953,Csb,Unburn,0.001244658712
Hickenbottom et al. 2023,DOC_Interp,Site_1,2021,5.625984251968504,Trout_Creek,38.88376,-119.978005,56.0808,Csb,Burn,0.100319258141
Hickenbottom et al. 2023,DOC_Interp,Site_1,2022,3.0386357282639085,Trout_Creek,38.88376,-119.978005,56.0808,Csb,Burn,0.054183173711
Hickenbottom et al. 2023,DOC_Interp,Site_1,2023,3.668527860582435,Trout_Creek,38.88376,-119.978005,56.0808,Csb,Burn,0.065415041522
Hickenbottom et al. 2023,DOC_Interp,Site_2,2022,2.495833333333333,Middle_Fork,38.958701,-120.920501,1520.7759,Csb,Burn,0.001641157868
"Mast & Clow, 2008",DOC_Interp,Control,2003,0.4378601363433735,Pinchot,48.42222,-113.7005555,47.300000000000004,Dfc,Unburn,0.009257085335
"Mast & Clow, 2008",DOC_Interp,Control,2004,0.7395438838116787,Pinchot,48.42222,-113.7005555,47.300000000000004,Dfc,Unburn,0.015635177248
"Mast & Clow, 2008",DOC_Interp,Control,2005,0.5439052248849978,Pinchot,48.42222,-113.7005555,47.300000000000004,Dfc,Unburn,0.01149905338
"Mast & Clow, 2008",DOC_Interp,Control,2006,0.7413032996280938,Pinchot,48.42222,-113.7005555,47.300000000000004,Dfc,Unburn,0.015672374199
"Mast & Clow, 2008",DOC_Interp,Control,2007,0.4826497988634454,Pinchot,48.42222,-113.7005555,47.300000000000004,Dfc,Unburn,0.010204012661
"Mast & Clow, 2008",DOC_Interp,Site_1,2003,0.847173912588889,Coal,48.418961,-113.696178,96.4,Dfc,Burn,0.008788111126
"Mast & Clow, 2008",DOC_Interp,Site_1,2004,1.1943474213876486,Coal,48.418961,-113.696178,96.4,Dfc,Burn,0.012389496072
"Mast & Clow, 2008",DOC_Interp,Site_1,2005,1.049337517734141,Coal,48.418961,-113.696178,96.4,Dfc,Burn,0.01088524396
"Mast & Clow, 2008",DOC_Interp,Site_1,2006,1.0819753074989493,Coal,48.418961,-113.696178,96.4,Dfc,Burn,0.011223810244
"Mast & Clow, 2008",DOC_Interp,Site_1,2007,0.9183024483466351,Coal,48.418961,-113.696178,96.4,Dfc,Burn,0.009525959008
Murphy et al. 2015,DOC_Interp,Control,2011,1.820075294437312,US1,40.036103,-105.439101,25.900000000000002,Cfb,Unburn,0.070273177391
Murphy et al. 2015,DOC_Interp,Control,2012,1.5968905872788406,US1,40.036103,-105.439101,25.900000000000002,Cfb,Unburn,0.061656007231
Murphy et al. 2015,DOC_Interp,Control,2013,2.1664923920603507,US1,40.036103,-105.439101,25.900000000000002,Cfb,Unburn,0.083648354906
Murphy et al. 2015,DOC_Interp,Site_1,2010,2.514695766219688,DS1,40.039046,-105.393878,37,Cfb,Burn,0.067964750438
Murphy et al. 2015,DOC_Interp,Site_1,2011,2.5432972446080284,DS1,40.039046,-105.393878,37,Cfb,Burn,0.068737763368
Murphy et al. 2015,DOC_Interp,Site_1,2012,1.6785144764991347,DS1,40.039046,-105.393878,37,Cfb,Burn,0.045365256122
Murphy et al. 2015,DOC_Interp,Site_1,2013,2.2222007818351823,DS1,40.039046,-105.393878,37,Cfb,Burn,0.06005948059
Murphy et al. 2015,DOC_Interp,Site_2,2010,5.671074694904271,DS2,40.041668,-105.364823,50,Cfb,Burn,0.113421493898
Murphy et al. 2015,DOC_Interp,Site_2,2011,3.206625742042435,DS2,40.041668,-105.364823,50,Cfb,Burn,0.064132514841
Murphy et al. 2015,DOC_Interp,Site_2,2012,2.1647753321955463,DS2,40.041668,-105.364823,50,Cfb,Burn,0.043295506644
Murphy et al. 2015,DOC_Interp,Site_2,2013,2.7403927171803795,DS2,40.041668,-105.364823,50,Cfb,Burn,0.054807854344
Murphy et al. 2015,DOC_Interp,Site_3,2010,1.5671795246683673,DS3,40.0155,-105.324566,63.1,Cfb,Burn,0.024836442546
Murphy et al. 2015,DOC_Interp,Site_3,2011,2.7548880090293553,DS3,40.0155,-105.324566,63.1,Cfb,Burn,0.043659080967
Murphy et al. 2015,DOC_Interp,Site_3,2012,2.5745053558324247,DS3,40.0155,-105.324566,63.1,Cfb,Burn,0.040800401836
Murphy et al. 2015,DOC_Interp,Site_3,2013,3.0455375978824364,DS3,40.0155,-105.324566,63.1,Cfb,Burn,0.048265255117
Murphy et al. 2018,DOC_Interp,Control,2010,1.7255102040816328,US1,40.036103,-105.439101,25.900000000000002,Cfb,Unburn,0.066622015602
Murphy et al. 2018,DOC_Interp,Control,2011,1.9061005008302536,US1,40.036103,-105.439101,25.900000000000002,Cfb,Unburn,0.073594613932
Murphy et al. 2018,DOC_Interp,Control,2012,1.7171713709677419,US1,40.036103,-105.439101,25.900000000000002,Cfb,Unburn,0.066300052933
Murphy et al. 2018,DOC_Interp,Control,2013,2.435010236748064,US1,40.036103,-105.439101,25.900000000000002,Cfb,Unburn,0.094015839257
Murphy et al. 2018,DOC_Interp,Control,2014,2.067898273464426,US1,40.036103,-105.439101,25.900000000000002,Cfb,Unburn,0.07984163218
Murphy et al. 2018,DOC_Interp,Control,2015,2.200084575859063,US1,40.036103,-105.439101,25.900000000000002,Cfb,Unburn,0.084945350419
Murphy et al. 2018,DOC_Interp,Site_1,2010,2.0265366146458583,DS1,40.039046,-105.393878,37,Cfb,Burn,0.054771259855
Murphy et al. 2018,DOC_Interp,Site_1,2011,2.4823461243872558,DS1,40.039046,-105.393878,37,Cfb,Burn,0.067090435794
Murphy et al. 2018,DOC_Interp,Site_1,2012,1.6346077251552795,DS1,40.039046,-105.393878,37,Cfb,Burn,0.044178587166
Murphy et al. 2018,DOC_Interp,Site_1,2013,2.1441279620096996,DS1,40.039046,-105.393878,37,Cfb,Burn,0.057949404379
