"","site","latitude","longitude","comid","geometry"
"1","Site 3","38.873743","-120.009019",8943613,c(-120.009019, 38.873743)
"2","Reference","38.499918","-122.10013",15032969,c(-111.669222, 40.175336)
"3","Payson","39.98249","-111.697245",10350360,c(-111.697245, 39.98249)
"4","Dry Creek","40.175336","-111.669222",10329181,c(-122.10013, 38.499918)
"5","San Onofre","34.500005","-120.186808",17594757,c(-120.187279, 34.472966)
"6","Gaviota","34.491409","-120.226251",17594763,c(-120.229926, 34.484966)
"7","Arroyo Hondo","34.482489","-120.140724",17594741,c(-120.14228, 34.475086)
"8","Rattlesnake","35.527417","-118.842146",14937281,c(-118.856815, 35.526656)
"9","Crow Creek","44.513227","-110.000742",12794143,c(-109.984156, 44.51295)
"10","Jones Creek","44.557677","-110.000742",12794005,c(-109.995153, 44.558208)
"11","Red_Bench_Creek","48.801854","-114.405807",22950879,c(-114.39971, 48.81409)
"12","Wally_Creek","48.788525","-114.441002",22950913,c(-114.436506, 48.80153)
"13","Red_Meadow_Creek","48.80512","-114.343106",22949989,c(-114.32894, 48.802772)
"14","Coal_Creek","48.671562","-114.217091",22950067,c(-114.199739, 48.688413)
"15","Logging_Creek","48.730478","-114.147448",22949389,c(-114.185106, 48.701412)
"16","Akokala_Creek","48.806585","-114.296183",22949619,c(-114.286749, 48.797378)
"17","Bowman_Creek","48.791143","-114.273172",22949571,c(-114.274616, 48.790458)
"18","Quartz_Creek","48.72717","-114.222639",22949475,c(-114.225834, 48.72261)
"19","Trout_Creek","38.883087","-119.979685",8944501,c(-119.978005, 38.88376)
"20","Cold_Creek","38.901416","-119.938826",8944471,c(-119.948785, 38.898689)
"21","Middle_Fork","38.954107","-120.906458",14997923,c(-120.920501, 38.958701)
"22","North_Fork","38.999913","-120.939454",14997117,c(-120.939907, 39.000053)
"23","Coal","48.416329","-113.679003",22957705,c(-113.696178, 48.418961)
"24","Pinchot","48.430741","-113.690159",22957733,c(-113.7005555, 48.42222)
"25","Fish Creek","48.552626","-113.987159",22958009,c(-113.9858333, 48.54888888)
"26","Lower MacDonald Creek","48.52781","-113.996176",22957903,c(-113.997184, 48.525536)
"27","Upper MacDonald Creek","48.635873","-113.865751",22957933,c(-113.8669444, 48.63527778)
"28","DS1","40.03726","-105.419135",2889268,c(-105.393878, 40.039046)
"29","DS2","40.05029","-105.372034",2889346,c(-105.364823, 40.041668)
"30","DS3","40.015746","-105.324921",2889356,c(-105.324566, 40.0155)
"31","US1","40.036316","-105.46799",2889272,c(-105.439101, 40.036103)
"32","US2","40.036316","-105.46799",2889272,c(-105.421247, 40.037791)
"33","Crane Creek","34.948737","-83.094099",11750409,c(-83.093596, 34.937946)
"34","Wash Branch","34.921809","-83.077401",11750421,c(-83.0922, 34.920959)
"35","Control","38.866927","-120.064616",8943655,c(-120.062, 38.868)
"36","Site 1","38.874255","-120.044479",8943617,c(-120.041, 38.88)
"37","Site 2","38.874255","-120.044479",8943617,c(-120.03, 38.879)
"38","Camas Creek","48.053257","-120.297179",23075361,c(-120.291846, 48.035327)
"39","Grade Creek","48.030197","-120.254071",23074473,c(-120.255581, 48.02142)
"40","Rocky Fire","38.925037","-122.332253",8009327,c(-122.326478, 38.923564)
"41","Wragg Fire","38.499918","-122.10013",15032969,c(-122.097228, 38.512031)
"42","PBR","40.698081","-105.580309",2899241,c(-105.545085, 40.699423)
"43","PSF","40.673904","-105.477698",2899449,c(-105.449096, 40.685031)
"44","PNF","40.691783","-105.255326",2900989,c(-105.2424, 40.703249)
"45","Benjamin Slough","40.113552","-111.792732",10349048,c(-111.791953, 40.134567)
"46","Hobble Creek Lower","40.147619","-111.564769",10348934,c(-111.647362, 40.184012)
"47","Hobble Creek Upper","40.147619","-111.564769",10348934,c(-111.5979, 40.157766)
"48","Mill Race","40.228017","-111.661584",10376606,c(-111.659265, 40.200989)
"49","Mitsubishi Race","40.188752","-111.650909",10329067,c(-111.652799, 40.192393)
"50","Provo River","40.23755","-111.716234",10376192,c(-111.724869, 40.234889)
"51","Spanish Fork Lower","40.099751","-111.668576",10349108,c(-111.681659, 40.103145)
"52","Spanish Fork Upper","40.068238","-111.575562",10349244,c(-111.57715, 40.071704)
