Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type
analyte,N/A,Indicates which analyte is being measured (Dissolved organic carbon (DOC) or nitrate (NO3)). ,text,column_header
Area_unit,hectare_square_kilometer,"Unit of measurement that applies to the ""Area_watershed"" column in the data package.",text,column_header
Area_watershed,hectare_square_kilometer,The total upstream catchment area from downstream end of flowline.,numeric,column_header
Area_watershed_km,square_kilometer,The total upstream catchment area from downstream end of flowline in square kilometers.,numeric,column_header
Biome,N/A,"The broad classification of a geographic area according to environmental conditions based on the Koppen climate classification as defined in the ""Climate"" column header. ",text,column_header
burn_percentage,percentage,The proportion of the watershed that was burned by a wildfire. ,numeric,column_header
burn_percentage_group,percentage,Grouped burn percentages in 10% intervals.,numeric,column_header
Burn_Type,N/A,Indicates what type of burn occurred in the publication (prescribed or natural).,text,column_header
Burn_Unburn,N/A,Indicates whether the site is affected by the wildfire or not. ,text,column_header
Climate,N/A,A three digit identifier from the Koppen climate classification.,text,column_header
Closest_USGS_gauge,N/A,Indicates where the closes United States Geological Survey (USGS) stream gauge is located relative to the site monitored in the publication.,text,column_header
Column_or_Row_Name,N/A,Column or row headers from each csv file in the dataset.,text,column_header
comid,N/A,The NHDPlus Version 2 common identifier (COMID) which is a unique identifier for the watershed associated with the location of the water sample.  ,text,column_header
CVconc,miligrams_per_liter_carbon_miligrams_per_liter_nitrogen,The coefficient of variation (CV) for analyte concentrations (dissolved organic carbon or nitrate).,numeric,column_header
Data_citations,N/A,Indicates where the data used within in the publication are located/published or where data were extracted from within a publication if it was not originally reported by the authors.,text,column_header
Data_Found,N/A,A designation to where the data were found within the publication.,text,column_header
Data_Type,N/A,Type of data (numeric; text; date; time; datetime).,text,column_header
Date_End,YYYY-MM-DD,The latest date in the file.,date,column_header
Date_Start,YYYY-MM-DD,The earliest date in the file.,date,column_header
Definition,N/A,Description of the information in a given column or row in the dataset.,text,column_header
Design_Control_Burn_Pre_Post,N/A,"The methodological study design for the publication which can either be a ""Control_Burn"" approach or a ""Pre_Post"" approach. ",text,column_header
Discharge,N/A,Indicates whether the publication includes or reports discharge data within their publication.,text,column_header
Discharge_notes,N/A,Free text field to record notes related to discharge data reported the publication. ,text,column_header
DOC,N/A,"The reported dissolved organic carbon (DOC) concentrations from the publication. See ""DOC_unit"" for the unit of the dissolved organic carbon value. ",numeric,column_header
DOC_Interp,miligrams_per_liter_carbon,The interpolated dissolved organic carbon concentration using the gap_fill function within R. ,numeric,column_header
DOC_mg_C_L,miligrams_per_liter_carbon,The reported dissolved organic carbon concentrations as milligrams per liter as carbon (C). ,numeric,column_header
DOC_reported,N/A,"Indicates if dissolved organic carbon (DOC) was reported in the associated publication. ""x"" indicates that DOC was reported; ""N/A"" indicates that DOC was not reported.",text,column_header
DOC_unit,N/A,"The unit of measurement that the publication reports and applies to the ""DOC"" column in the data package.",text,column_header
DOI,N/A,"The Digital Object Identifier (DOI) is used to uniquely identify an article or document, and to provide it with a permanent web address (URL).",text,column_header
Ecosystem,N/A,The ecosystem type where the study was conducted.,text,column_header
Effect_size,N/A,The proportional differences between burned and unburned in-stream solute concentrations. This is a calculation and the response variable in many of our statistical analyses. ,numeric,column_header
Effect_size_pair,N/A,Indicates which watershed pair was used for the effect size calculation. ,text,column_header
elevfixed,N/A,Flag indicating that the downstream elevation is fixed (i.e. not smoothed). ,text,column_header
Exact_Date_Extracted,N/A,Designates if the publication reported exact dates associated with their water sampling or not. Results that are included in a figure with coarse time-frames would be designated as no.,text,column_header
Exclusion,N/A,Explains why a publication was not included in the final analysis.,text,column_header
fi,percentage,Feature Importance (FI) determined by Random Forest models.,numeric,column_header
File_Description,N/A,A brief description of the files in the data package.,text,column_header
File_Name,N/A,Name of files in the data package.,text,column_header
File_Path,N/A,File path within the data package.,text,column_header
Fire_name,N/A,The name of the fire that was investigated in each publication.,text,column_header
Fire_year,YYYY,The year the fire occurred that was investigated in each publication.,text,column_header
geometry,decimal_degrees_WGS1984,Geographic coordinates of each study site.,text,column_header
group,N/A,A unique number identifier that is associated with a United States state. ,numeric,column_header
