Study_ID,DOI,Design_Control_Burn_Pre_Post,latitude,longitude,Area_watershed,Area_unit,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,2.7135,km,Control,Csb,Site_1,2008-01-15,Unburn,1,Individual,,,,,0.027023499,mg_N_L,,,Figure_5,Exact coordinates were taken from Hampton et al. 2022. There are some other figures that are means for each site that we could use but I didn't take them for consistency purposes here because we'd rather have the individual ones one that the means draw from anyways. 
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,2.7135,km,Control,Csb,Site_1,2008-02-09,Unburn,1,Individual,,,,,0.027023499,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,2.7135,km,Control,Csb,Site_1,2008-02-18,Unburn,1,Individual,,,,,0.032245431,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,2.7135,km,Control,Csb,Site_1,2008-03-04,Unburn,1,Individual,,,,,0.03537859,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,2.7135,km,Control,Csb,Site_1,2008-03-28,Unburn,1,Individual,,,,,0.053133159,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,2.7135,km,Control,Csb,Site_1,2008-04-24,Unburn,1,Individual,,,,,0.068798956,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,2.7135,km,Control,Csb,Site_1,2008-05-13,Unburn,1,Individual,,,,,0.012402089,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,2.7135,km,Control,Csb,Site_1,2008-06-03,Unburn,1,Individual,,,,,0.012402089,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,2.7135,km,Control,Csb,Site_1,2008-06-25,Unburn,1,Individual,,,,,0.003002611,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,2.7135,km,Control,Csb,Site_1,2008-07-24,Unburn,1,Individual,,,,,0.001958225,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,2.7135,km,Control,Csb,Site_1,2008-08-20,Unburn,1,Individual,,,,,0.005091384,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,2.7135,km,Control,Csb,Site_1,2008-09-03,Unburn,1,Individual,,,,,0.005091384,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,2.7135,km,Control,Csb,Site_1,2008-12-27,Unburn,1,Individual,,,,,0.010169647,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,2.7135,km,Control,Csb,Site_1,2009-01-15,Unburn,2,Individual,,,,,0.034074394,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,2.7135,km,Control,Csb,Site_1,2009-02-04,Unburn,2,Individual,,,,,0.059018193,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,2.7135,km,Control,Csb,Site_1,2009-03-20,Unburn,2,Individual,,,,,0.064099749,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,2.7135,km,Control,Csb,Site_1,2009-04-21,Unburn,2,Individual,,,,,0.065049927,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,2.7135,km,Control,Csb,Site_1,2009-05-15,Unburn,2,Individual,,,,,0.039981964,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,2.7135,km,Control,Csb,Site_1,2009-06-19,Unburn,2,Individual,,,,,0.001342273,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.868,-120.062,2.7135,km,Control,Csb,Site_1,2009-07-13,Unburn,2,Individual,,,,,0.001273003,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,6.64,km,Site_1,Csb,Site_2,2009-05-10,Burn,2,Individual,,,,,0.023329674,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,6.64,km,Site_1,Csb,Site_2,2009-05-03,Burn,2,Individual,,,,,0.078558919,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,6.64,km,Site_1,Csb,Site_2,2009-04-26,Burn,2,Individual,,,,,0.035871497,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,6.64,km,Site_1,Csb,Site_2,2009-04-18,Burn,2,Individual,,,,,0.052559076,mg_N_L,,,Figure_5,
Oliver et al. 2012,10.1007/s10533-011-9657-0,Control_Reference_vs_Impact,38.88,-120.041,6.64,km,Site_1,Csb,Site_2,2009-04-09,Burn,2,Individual,,,,,0.038001882,mg_N_L,,,Figure_5,
