site,comid,longitude,latitude,objectid,fdate,resolution,gnis_id,gnis_name,lengthkm,reachcode,flowdir,wbareacomi,ftype,fcode,shape_length,streamleve,streamorde,streamcalc,fromnode,tonode,hydroseq,levelpathi,pathlength,terminalpa,arbolatesu,divergence,startflag,terminalfl,dnlevel,uplevelpat,uphydroseq,dnlevelpat,dnminorhyd,dndraincou,dnhydroseq,frommeas,tomeas,rtndiv,vpuin,vpuout,areasqkm,totdasqkm,divdasqkm,tidal,totma,wbareatype,pathtimema,hwnodesqkm,maxelevraw,minelevraw,maxelevsmo,minelevsmo,slope,elevfixed,hwtype,slopelenkm,qa_ma,va_ma,qc_ma,vc_ma,qe_ma,ve_ma,qa_01,va_01,qc_01,vc_01,qe_01,ve_01,qa_02,va_02,qc_02,vc_02,qe_02,ve_02,qa_03,va_03,qc_03,vc_03,qe_03,ve_03,qa_04,va_04,qc_04,vc_04,qe_04,ve_04,qa_05,va_05,qc_05,vc_05,qe_05,ve_05,qa_06,va_06,qc_06,vc_06,qe_06,ve_06,qa_07,va_07,qc_07,vc_07,qe_07,ve_07,qa_08,va_08,qc_08,vc_08,qe_08,ve_08,qa_09,va_09,qc_09,vc_09,qe_09,ve_09,qa_10,va_10,qc_10,vc_10,qe_10,ve_10,qa_11,va_11,qc_11,vc_11,qe_11,ve_11,qa_12,va_12,qc_12,vc_12,qe_12,ve_12,lakefract,surfarea,rareahload,rpuid,vpuid,enabled,huc2,huc4,huc6,huc8,huc10,huc12,burn_percent_fire_year,fire_years_used,burn_sev_high,burn_sev_low,burn_sev_mod,burn_sev_NA,pctbl2019ws,pctconif2019ws,pctcrop2019ws,pctdecid2019ws,pctgrs2019ws,pcthay2019ws,pcthbwet2019ws,pctice2019ws,pctmxfst2019ws,pctow2019ws,pctshrb2019ws,pcturbhi2019ws,pcturblo2019ws,pcturbmd2019ws,pcturbop2019ws,pctwdwet2019ws,tmax8110ws,pctcarbresidws,pctglactilloamws,rckdepws,pcteolfinews,precip8110ws,tmean8110ws,pctglactilcrsws,pctcolluvsedws,clayws,pcthydricws,pcteolcrsws,hydrlcondws,pctsallakews,pctextruvolws,runoffws,tmin8110ws,pctglaclakecrsws,bfiws,pctalkintruvolws,omws,pctglaclakefinews,kffactws,pctglactilclayws,wtdepws,pctalluvcoastws,permws,pctsilicicws,pctwaterws,pctcoastcrsws,pctnoncarbresidws,sandws
Mill Race,10376606,-111.659265,40.200989,2229886,1999-07-31 21:00:00,Medium,1443471,Mill Race,4.439,16020201005371,With Digitized,0,StreamRiver,46006,0.0450887446239559,6,1,1,800069015,800015995,800086035,800055159,114.654,800002347,4.439,0,1,0,6,0,0,800055159,0,1,800055159,0,100,0,0,0,35.2287,35.2287,35.2287,0,0.231377406572, ,1429.07086275,4.1346,137801,136740,137801,137637,0.00038246,0,H,4.288,3.698,0.73168,3.37,0.72851,3.37,0.72851,0.021,0.33556,1.499,0.58164,1.499,0.58164,0.73,0.48723,7.256,0.93969,7.256,0.93969,7.83,0.93882,12.465,1.14982,12.465,1.14982,12.125,1.10361,12.029,1.13406,12.029,1.13406,9.471,1.00585,9.779,1.04808,9.779,1.04808,5.116,0.8113,4.082,0.77352,4.082,0.77352,2.766,0.6712,1.652,0.59611,1.652,0.59611,1.77,0.59463,1.1,0.54023,1.1,0.54023,1.554,0.57551,1.41,0.5729,1.41,0.5729,1.715,0.58987,2.228,0.64564,2.228,0.64564,1.017,0.52166,2.414,0.6603,2.414,0.6603,0.284,0.41672,2.358,0.65594,2.358,0.65594,NA,NA,NA,16b,16,1,HUC-16,HUC-1602,HUC-160202,HUC-16020201,HUC-1602020109,HUC-160202010900,0,2018,0,0,0,NA,0,20.02,0,11.94,0.65,0.4,1.8,0,0.34,0.16,15.38,12.92,11.38,19.61,5,0.42,15.905538211700001,2.35,0,142.32073055733503,0,628.930586079,9.462357018239999,0,0,20.888374375400385,0,0,1.1814,97.65,0,122.034,3.01499761148,0,76.9338,0,0.8960366431774504,0,0.3181,0,166.27868443305573,0,8.626423318385651,0,0,0,0,34.67484894298527
Mitsubishi Race,10329067,-111.652799,40.192393,2229545,1999-07-31 21:00:00,Medium, , ,0.93,16020201000559,With Digitized,0,CanalDitch,33600,0.0102231883427664,6,3,0,800015958,800015997,800027194,800024507,114.699,800002347,30.009,2,0,0,6,800027182,800030772,800024507,0,1,800024507,0,100,0,0,0,0.6372,41.0931,0.6372,0,0.0899964258252, ,1431.08133385,NA,-9998,136739,137637,137637,1e-05,0, ,0.781,0.012,0.39046,0.016,0.3924,0.016,0.3924,0,0.30839,0,0.30839,0,0.30839,0.008,0.37457,1.677,1.30188,1.677,1.30188,0.017,0.40714,0.463,0.80999,0.463,0.80999,0.017,0.40714,0.057,0.47332,0.057,0.47332,0.025,0.42958,0.026,0.4171,0.026,0.4171,0.008,0.37457,0.004,0.34863,0.004,0.34863,0.008,0.37457,0.006,0.35829,0.006,0.35829,0.008,0.37457,0.009,0.37028,0.009,0.37028,0.017,0.40714,0.042,0.44863,0.042,0.44863,0.025,0.42958,0.138,0.57215,0.138,0.57215,0.008,0.37457,0.137,0.57114,0.137,0.57114,0,0.30839,0,0.30839,0,0.30839,NA,NA,NA,16b,16,1,HUC-16,HUC-1602,HUC-160202,HUC-16020201,HUC-1602020109,HUC-160202010900,0,2018,0,0,0,NA,0,8.62,0.48,30.6,2.87,2.05,5.97,0,0.75,0.61,19.76,4.87,7.79,10.24,4.67,0.73,15.083625227999999,5.14,0,141.1963065332136,0,690.5996475960001,8.8681913333,0,0,23.027008694890384,0,0,0.7126,69.66,0,244.0169,2.6479480503999997,0,76.5851,0,1.0455991151799209,0,0.3072,0,166.4009514006001,0,6.9155123852909615,0,0,0,25.19,32.54488709783394
Payson,10353402,-111.729891,39.987804,2230677,2008-05-08 21:00:00,Medium,1446014,Spring Creek,0.457,16020202000879,With Digitized,10348518,ArtificialPath,55800,0.00439418902295128,6,1,1,800068798,800016397,800086252,800013626,132.296,800002347,0.456,0,1,0,6,0,0,800013626,0,1,800055065,0,100,0,0,0,9.0153,9.0153,9.0153,0,4.00067947082,LakePond,1328.9386858,2.6154,143663,143570,143663,143570,0.00302931,0,H,0.307,0.682,-9998,0.701,-9998,0.701,-9998,0,-9998,0,-9998,0,-9998,0.085,-9998,3.585,-9998,3.585,-9998,1.198,-9998,4.545,-9998,4.545,-9998,2.75,-9998,3.597,-9998,3.597,-9998,1.684,-9998,1.745,-9998,1.745,-9998,0.799,-9998,0.553,-9998,0.553,-9998,0.445,-9998,0.282,-9998,0.282,-9998,0.326,-9998,0.246,-9998,0.246,-9998,0.317,-9998,0.411,-9998,0.411,-9998,0.375,-9998,0.817,-9998,0.817,-9998,0.188,-9998,0.88,-9998,0.88,-9998,0,-9998,0,-9998,0,-9998,1,45226.8474539,26.3706225342,16b,16,1,HUC-16,HUC-1602,HUC-160202,HUC-16020202,HUC-1602020206,HUC-160202020602,20.2356,2018,6.06,4.67,8.37,NA,0,17.54,9.74,14.89,17.07,2.98,0.51,0,0.92,0.47,28.74,0.13,1.9,1.26,2.92,0.93,16.1984465668,14.32,0,119.43283218528501,0,533.1562009740001,9.50152202028,0,0,22.771971648198065,0,0,1.4773,85.68,0,248,2.79979564458,0,74,0,1.5956663671758011,0,0.265,0,182.88,0,5.011345712289109,0,0,0,0,30.868249975042428
Provo River,10376192,-111.724869,40.234889,2231304,2000-09-13 21:00:00,Medium,1444668,Provo River,2.398,16020203000579,With Digitized,0,StreamRiver,46006,0.0262932205328021,5,5,5,800016935,800016027,800004024,800003980,105.897,800002347,1155.366,1,0,0,5,800003980,800004068,800003980,0,1,800003980,0,100,0,0,0,3.5262,1754.6553,1754.6553,0,0.101375481944, ,1037.83318709,NA,-9998,136752,137637,137637,1e-05,0, ,2.398,555.114,0.94485,354.801,0.92219,217.018,0.89823,36.232,0.4578,33.883,0.48475,212.307,0.8914,21.638,0.42202,22.158,0.44914,244.504,0.93679,156.024,0.6328,62.217,0.55192,281.166,0.98518,932.981,1.1469,412.167,0.97303,323.245,1.03721,1533.826,1.40022,1565.885,1.65861,397.682,1.12199,1406.947,1.35129,1720.115,1.72767,389.596,1.11316,1044.73,1.19882,510.697,1.05316,58.156,0.60152,603.449,0.9737,190.396,0.74943,36.678,0.53787,363.439,0.81666,97.185,0.61699,80.475,0.6567,317.293,0.7813,70.162,0.56797,175.23,0.8349,171.288,0.64928,52.051,0.52991,200.412,0.87382,76.297,0.53027,40.084,0.50121,211.181,0.88975,NA,NA,NA,16b,16,1,HUC-16,HUC-1602,HUC-160202,HUC-16020201,HUC-1602020109,HUC-160202010900,0,2018,0,0,0,NA,0.49,22.43,0.74,40.53,0.55,3.45,0.21,0,1.73,1.31,21.94,0.26,1.41,1.14,3.31,0.5,12.3273180739,5.5,0,133.2244694605049,0,735.326231911,5.68286232039,12.27,0,24.34720155963869,0,0,2.8418,3.24,0,113.0902,-0.96661960365,0,73.1949,0,1.1236883037386065,0,0.3222,0,172.0368597199646,16.86,7.558526455216971,22.99,0,0,39.14,34.71561252340487
Spanish Fork Lower,10348948,-111.732766,40.162204,2230719,1999-07-31 21:00:00,Medium, , ,4.328,16020202000919,With Digitized,0,StreamRiver,46006,0.0448723778787226,6,5,0,800016254,800016004,800004661,800004600,109.231,800002347,1608.531,2,0,0,6,800002347,800004728,800004600,0,1,800004600,0,100,0,0,0,1.6515,2021.3586,1.6515,0,0.296503182667, ,1186.78675688,NA,-9998,136715,137637,136715,0.00220679,1, ,4.178,0.031,0.54925,0.04,0.55428,0.04,0.55428,0,0.30839,0,0.30839,0,0.30839,0.022,0.50915,2.295,2.42003,2.295,2.42003,0.044,0.59848,0.773,1.49326,0.773,1.49326,0.044,0.59848,0.125,0.75869,0.125,0.75869,0.066,0.66817,0.069,0.63684,0.069,0.63684,0.022,0.50915,0.011,0.43228,0.011,0.43228,0.022,0.50915,0.015,0.45446,0.015,0.45446,0.022,0.50915,0.022,0.4874,0.022,0.4874,0.044,0.59848,0.089,0.68437,0.089,0.68437,0.066,0.66817,0.26,0.97274,0.26,0.97274,0.022,0.50915,0.244,0.95071,0.244,0.95071,0,0.30839,0,0.30839,0,0.30839,NA,NA,NA,16b,16,1,HUC-16,HUC-1602,HUC-160202,HUC-16020202,HUC-1602020206,HUC-160202020604,26.5655,2018,4.4,8.03,9.42,NA,0.01,15.01,1.52,36.12,23.97,0.96,0.07,0,0.32,0.01,19.02,0.05,0.53,0.35,1.87,0.19,13.6317588602,0.72,0,126.36859928394259,0,618.348894465,6.807836152030001,1,0,25.552428182737145,0,0,2.1201,5.05,0,246.1762,-0.0209969876627,0,71.9081,0,1.081142788947946,0,0.3245,0,182.15525552294898,7.56,4.8090831570650545,5.91,0,0,79.75,31.937297952022373
Spanish Fork Upper,10349244,-111.57715,40.071704,2229895,2008-05-08 21:00:00,Medium, , ,0.641,16020202000004,With Digitized,0,StreamRiver,46006,0.00657548911951182,4,5,5,800016328,800016325,800005155,800002347,133.738,800002347,1239.21,0,0,0,4,800002347,800005228,800002347,0,1,800005085,0,100,0,0,0,0.2718,1642.5162,1642.5162,0,0.0114478297871, ,1296.62566266,NA,-9998,145674,146394,145674,0.01123244,0, ,0.641,288.585,2.13447,193.192,2.07607,272.878,2.12621,1.337,0.41361,8.492,0.64478,101.293,1.38242,2.024,0.43952,10.151,0.67822,114.075,1.45238,137.517,1.54031,58.136,1.24264,167.974,1.71332,1032.89,3.90238,447.738,3.07047,310.837,2.25638,1015.47,3.87006,1037.649,4.62422,634.958,3.15487,556.506,2.89635,634.085,3.63102,551.404,2.94941,297.081,2.16282,151.519,1.8621,444.089,2.66267,170.114,1.68762,62.188,1.27667,394.925,2.52047,114.181,1.42448,39.574,1.07006,214.175,1.90681,90.953,1.29751,30.725,0.97428,119.875,1.4829,39.843,0.94651,21.726,0.86235,109.584,1.42824,6.336,0.54876,11.36,0.70099,98.858,1.36863,NA,NA,NA,16b,16,1,HUC-16,HUC-1602,HUC-160202,HUC-16020202,HUC-1602020205,HUC-160202020502,32.6928,2018,5.42,9.88,11.59,NA,0,16.5,0.54,30.07,29.33,0.52,0.04,0,0.24,0.01,20.69,0.01,0.24,0.09,1.59,0.13,13.5651798602,0.64,0,124.53089813963328,0,592.520823296,6.63015159845,0,0,26.13503212593454,0,0,2.3913,1.18,0,246.0235,-0.309815231927,0,71.3404,0,1.1008208730287472,0,0.3177,0,182.6448073540002,8.72,4.0795669356067386,7.27,0,0,82.18,31.303401167538233
Crow Creek,12794143,-109.984156,44.51295,1333748,1999-07-19 21:00:00,Medium,1599049,Crow Creek,2.786,10080012000159,With Digitized,0,StreamRiver,46006,0.0346158815673202,6,2,2,590102927,590102945,590104612,590104612,5304.669,350002977,17.496,0,0,0,5,590104612,590121371,590013217,0,1,590044607,0,24.86711,0,0,0,4.6089,49.9266,49.9266,0,0.0696581363593, ,1251.74984249,NA,-9998,203780,221765,203780,0.06455491,1, ,2.786,28.632,1.49776,35.527,1.51873,35.527,1.51873,10.795,1.01694,11.62,0.97701,11.62,0.97701,8.537,0.93392,9.572,0.9116,9.572,0.9116,6.134,0.83322,6.009,0.77948,6.009,0.77948,1.676,0.57191,12.112,0.9919,12.112,0.9919,42.206,1.7699,46.462,1.70408,46.462,1.70408,82.249,2.39126,79.301,2.16225,79.301,2.16225,84.986,2.42778,56.917,1.8629,56.917,1.8629,52.294,1.94606,25.867,1.33104,25.867,1.33104,29.418,1.51499,15.4,1.08488,15.4,1.08488,26.373,1.44697,19.443,1.1872,19.443,1.1872,20.749,1.31082,18.069,1.15365,18.069,1.15365,17.952,1.23663,15.921,1.09872,15.921,1.09872,NA,NA,NA,10g,10U,1,HUC-10,HUC-1008,HUC-100800,HUC-10080012,HUC-1008001201,HUC-100800120102,0,1988,0,0,0,0,1.57,64.3,0.03,0.15,11.17,0,0,0,0,0.05,22.66,0,0,0,0,0.06,7.02348398300105,0,0,118.81305692756969,0,835.000770935934,0.789642151189746,0,0,10.90222879186646,0,0,0.5589,0,0,378.2222,-5.44716199828749,0,71.5651,0,0.4020283375995963,0,0.2192,0,162.3196232469265,0.09,8.635981901431299,94.2,0,0,5.71,52.51820780906371
Jones Creek,12794005,-109.995153,44.558208,1333746,1999-07-19 21:00:00,Medium,1600654,Jones Creek,1.655,10080012000158,With Digitized,0,StreamRiver,46006,0.0200040309207826,6,1,1,590102895,590102910,590147659,590147659,5310.278,350002977,16.446,0,0,0,5,590147659,590207260,590013217,0,1,590047464,0,10.06487,0,0,0,2.988,64.9602,64.9602,0,0.0423573768569, ,1251.88917241,NA,-9998,208560,214565,208560,0.03628398,1, ,1.655,38.914,1.46538,47.233,1.48368,47.233,1.48368,13.383,0.96481,14.266,0.93077,14.266,0.93077,10.851,0.89563,11.821,0.87164,11.821,0.87164,7.892,0.80428,7.733,0.758,7.733,0.758,2.215,0.56096,14.811,0.94328,14.811,0.94328,53.677,1.68085,59.846,1.64107,59.846,1.64107,107.114,2.28915,106.07,2.11436,106.07,2.11436,115.996,2.37473,77.276,1.8348,77.276,1.8348,72.458,1.91788,36.062,1.32678,36.062,1.32678,42.499,1.52081,21.832,1.08854,21.832,1.08854,37.785,1.44743,25.643,1.15813,25.643,1.15813,26.873,1.25889,22.623,1.10343,22.623,1.10343,22.483,1.173,19.593,1.04498,19.593,1.04498,NA,NA,NA,10g,10U,1,HUC-10,HUC-1008,HUC-100800,HUC-10080012,HUC-1008001201,HUC-100800120101,96.1969,1988,43.67,13.1,15.31,NA,1.14,3.59,0,0.01,3.72,0,0.27,0.01,0,0.04,90.61,0,0,0,0,0.61,6.878636640638419,0,0,114.43765260882816,0,860.5103160907761,0.55106015658788,0,0,10.328271495469536,0,0,2.3757,0,0,379.5934,-5.779865998365151,0,72.5856,0,0.5162354179944028,0,0.2075,0,163.49065934218183,0.42,9.57308279531159,92.73,0,0,6.85,52.8800816038128
East Fork Kootenai,22878863,-116.118877,49.70434,2316588,2005-09-05 21:00:00,Medium,384301,Kootenai River,2.364,17010101000583,With Digitized,22886851,ArtificialPath,55800,0.0240251393970512,2,4,4,50000605,50000604,50055275,50006495,1434.304,50001315,71.902,0,0,0,2,50006495,50059477,50006495,0,1,50051742,0,100,0,0,0,20059.6023,20156.0085,20156.0085,0,2.03113564801,LakePond,43.7901635646,NA,-9998,62509,75050,75050,1e-05,0,A,2.364,9145.36,-9998,10069.49,-9998,10065.595,-9998,838.544,-9998,1160.351,-9998,1316.808,-9998,400.103,-9998,660.005,-9998,784.396,-9998,338.894,-9998,470.464,-9998,537.081,-9998,4056.785,-9998,4209.265,-9998,4203.826,-9998,16848.317,-9998,25508.895,-9998,25231.385,-9998,24534.027,-9998,38728.981,-9998,38347.16,-9998,22931.63,-9998,18098.111,-9998,17991.743,-9998,16408.937,-9998,6290.536,-9998,6334.514,-9998,10282.719,-9998,3822.901,-9998,3901.887,-9998,7761.256,-9998,3852.137,-9998,3970.133,-9998,3654.912,-9998,3617.144,-9998,3751.947,-9998,1741.631,-9998,2130.153,-9998,2276.57,-9998,0.0903648800368,5373767.88,0.218213459794,17b,17,1,HUC-17,HUC-1701,HUC-170101,HUC-17010101,HUC-1701010106,HUC-170101010606,NA,1985,NA,NA,NA,NA,0.12,80.56,0.05,0.18,8.65,0.01,0.05,0,0.56,2.3,7.35,0,0.02,0,0.09,0.07,8.82267595057,0,0,117.02003343849006,0,1006.62677284,3.5054252268300004,0,0,9.233598657056195,0,0,9.2441,0,0,287.8297,-1.81672163255,0,72.5069,0,1.0377293896560178,0,0.2034,0,182.69797572162963,12.7,7.795702377172657,0,0,0,87.3,36.78844480622564
Middle Fork Kootenai,22878863,-116.122217,49.712888,2316588,2005-09-05 21:00:00,Medium,384301,Kootenai River,2.364,17010101000583,With Digitized,22886851,ArtificialPath,55800,0.0240251393970512,2,4,4,50000605,50000604,50055275,50006495,1434.304,50001315,71.902,0,0,0,2,50006495,50059477,50006495,0,1,50051742,0,100,0,0,0,20059.6023,20156.0085,20156.0085,0,2.03113564801,LakePond,43.7901635646,NA,-9998,62509,75050,75050,1e-05,0,A,2.364,9145.36,-9998,10069.49,-9998,10065.595,-9998,838.544,-9998,1160.351,-9998,1316.808,-9998,400.103,-9998,660.005,-9998,784.396,-9998,338.894,-9998,470.464,-9998,537.081,-9998,4056.785,-9998,4209.265,-9998,4203.826,-9998,16848.317,-9998,25508.895,-9998,25231.385,-9998,24534.027,-9998,38728.981,-9998,38347.16,-9998,22931.63,-9998,18098.111,-9998,17991.743,-9998,16408.937,-9998,6290.536,-9998,6334.514,-9998,10282.719,-9998,3822.901,-9998,3901.887,-9998,7761.256,-9998,3852.137,-9998,3970.133,-9998,3654.912,-9998,3617.144,-9998,3751.947,-9998,1741.631,-9998,2130.153,-9998,2276.57,-9998,0.0903648800368,5373767.88,0.218213459794,17b,17,1,HUC-17,HUC-1701,HUC-170101,HUC-17010101,HUC-1701010106,HUC-170101010606,NA,1985,NA,NA,NA,NA,0.12,80.56,0.05,0.18,8.65,0.01,0.05,0,0.56,2.3,7.35,0,0.02,0,0.09,0.07,8.82267595057,0,0,117.02003343849006,0,1006.62677284,3.5054252268300004,0,0,9.233598657056195,0,0,9.2441,0,0,287.8297,-1.81672163255,0,72.5069,0,1.0377293896560178,0,0.2034,0,182.69797572162963,12.7,7.795702377172657,0,0,0,87.3,36.78844480622564
West Fork Kootenai,22878863,-116.140608,49.706719,2316588,2005-09-05 21:00:00,Medium,384301,Kootenai River,2.364,17010101000583,With Digitized,22886851,ArtificialPath,55800,0.0240251393970512,2,4,4,50000605,50000604,50055275,50006495,1434.304,50001315,71.902,0,0,0,2,50006495,50059477,50006495,0,1,50051742,0,100,0,0,0,20059.6023,20156.0085,20156.0085,0,2.03113564801,LakePond,43.7901635646,NA,-9998,62509,75050,75050,1e-05,0,A,2.364,9145.36,-9998,10069.49,-9998,10065.595,-9998,838.544,-9998,1160.351,-9998,1316.808,-9998,400.103,-9998,660.005,-9998,784.396,-9998,338.894,-9998,470.464,-9998,537.081,-9998,4056.785,-9998,4209.265,-9998,4203.826,-9998,16848.317,-9998,25508.895,-9998,25231.385,-9998,24534.027,-9998,38728.981,-9998,38347.16,-9998,22931.63,-9998,18098.111,-9998,17991.743,-9998,16408.937,-9998,6290.536,-9998,6334.514,-9998,10282.719,-9998,3822.901,-9998,3901.887,-9998,7761.256,-9998,3852.137,-9998,3970.133,-9998,3654.912,-9998,3617.144,-9998,3751.947,-9998,1741.631,-9998,2130.153,-9998,2276.57,-9998,0.0903648800368,5373767.88,0.218213459794,17b,17,1,HUC-17,HUC-1701,HUC-170101,HUC-17010101,HUC-1701010106,HUC-170101010606,0,1985,0,0,0,NA,0.12,80.56,0.05,0.18,8.65,0.01,0.05,0,0.56,2.3,7.35,0,0.02,0,0.09,0.07,8.82267595057,0,0,117.02003343849006,0,1006.62677284,3.5054252268300004,0,0,9.233598657056195,0,0,9.2441,0,0,287.8297,-1.81672163255,0,72.5069,0,1.0377293896560178,0,0.2034,0,182.69797572162963,12.7,7.795702377172657,0,0,0,87.3,36.78844480622564
Akokala_Creek,22949619,-114.286749,48.797378,2332676,2001-02-27 21:00:00,Medium,778898,Akokala Creek,2.623,17010206000156,With Digitized,0,StreamRiver,46006,0.0269682226156079,4,3,3,50006182,50006181,50036940,50036940,1850.654,50001315,80.227,0,0,0,3,50036940,50038358,50010066,0,1,50016766,0,100,0,0,0,3.195,105.8112,105.8112,0,0.0779257451605, ,1085.62974606,NA,-9998,108366,109810,108366,0.00550514,0, ,2.623,74.822,1.28032,72.807,1.27817,72.807,1.27817,9.48,0.63288,38.484,0.99965,38.484,0.99965,4.629,0.53016,29.384,0.90739,29.384,0.90739,5.723,0.5566,17.912,0.76894,17.912,0.76894,62.284,1.19013,71.478,1.26873,71.478,1.26873,147.214,1.7006,148.688,1.72528,148.688,1.72528,171.071,1.81618,167.294,1.81683,167.294,1.81683,149.395,1.71151,105.807,1.49109,105.807,1.49109,121.637,1.56643,73.451,1.28272,73.451,1.28272,96.24,1.41932,79.806,1.32661,79.806,1.32661,72.789,1.2662,73.426,1.28254,73.426,1.28254,38.726,0.99349,43.608,1.04709,43.608,1.04709,18.984,0.77758,41.802,1.03069,41.802,1.03069,NA,NA,NA,17b,17,1,HUC-17,HUC-1701,HUC-170102,HUC-17010206,HUC-1701020604,HUC-170102060409,13.8379,1988,2.44,4.34,3.99,NA,6.65,33.17,0,0.01,0.62,0.72,0.19,0.15,0.11,0.39,57.6,0,0.01,0,0.04,0.32,8.51203580064,1.58,0,130.4070081932235,0,1162.78783758,3.0605308991799998,16.63,0,14.762961860370169,0,0,4.9476,0,0,664,-2.39505729415,0,70.1359,0,0.7048332536457089,0,0.2776,0,182.88,7,4.271167534351797,0,0,0,74.79,36.090248792188355
Bowman_Creek,22949571,-114.274616,48.790458,2332662,2001-02-27 21:00:00,Medium,780316,Bowman Creek,0.623,17010206000134,With Digitized,0,StreamRiver,46006,0.00645130358410773,4,3,3,50006159,50006158,50030586,50029004,1850.804,50001315,82.379,0,0,0,4,50029004,50031464,50029004,0,1,50029778,0,100,0,0,0,0.3204,137.0853,137.0853,0,0.0160649905935, ,1085.63494343,NA,-9998,109364,110082,109440,0.01030497,0, ,0.623,127.849,1.47386,126.133,1.47258,126.133,1.47258,19.694,0.74004,67.075,1.1409,67.075,1.1409,9.8,0.60637,49.597,1.0176,49.597,1.0176,11.771,0.63682,31.913,0.86955,31.913,0.86955,74.626,1.18408,85.269,1.25405,85.269,1.25405,203.317,1.79941,211.094,1.8387,211.094,1.8387,269.504,2.04009,275.361,2.07066,275.361,2.07066,260.656,2.00967,186.83,1.74263,186.83,1.74263,229.926,1.90004,130.889,1.49569,130.889,1.49569,191.123,1.75124,140.872,1.54294,140.872,1.54294,144.804,1.55353,131.581,1.49902,131.581,1.49902,80.145,1.21789,88.403,1.27235,88.403,1.27235,39.566,0.93359,79.183,1.21759,79.183,1.21759,NA,NA,NA,17b,17,1,HUC-17,HUC-1701,HUC-170102,HUC-17010206,HUC-1701020604,HUC-170102060410,5.7229,1988,2.17,1.19,1.77,NA,14.31,59.49,0,0.06,0.21,0.09,0.04,0.63,0.88,5.43,18.48,0,0.02,0,0.21,0.15,7.7531161284,22.37,0,116.4375010255947,0,1362.53941084,2.50015927195,5.56,0,11.275346193497498,0,0,0.1246,0,0,670.8577,-2.75708478302,0,69.373,0,0.9940691918349184,0,0.1917,0,182.88,0.06,5.7566695638267555,0,0,0,72.01,34.50151291436321
Coal_Creek,22950067,-114.199739,48.688413,2332874,2001-02-27 21:00:00,Medium,781441,Coal Creek,3.542,17010206000353,With Digitized,0,StreamRiver,46006,0.0398536738942798,4,4,4,50006390,50006104,50038351,50038351,1834.542,50001315,154.339,0,0,0,3,50038351,50039951,50010066,0,1,50012973,0,100,0,0,0,3.3363,212.8428,212.8428,0,0.0791661043741, ,1085.30602511,NA,-9998,104091,110368,104091,0.01772162,0, ,3.542,174.903,1.69957,173.95,1.69895,173.95,1.69895,20.986,0.75962,70.392,1.16851,70.392,1.16851,10.39,0.61905,51.66,1.0382,51.66,1.0382,12.985,0.65809,34.522,0.89758,34.522,0.89758,111.078,1.40156,125.708,1.47866,125.708,1.47866,320.34,2.22678,345.76,2.31108,345.76,2.31108,405.081,2.4814,430.473,2.55822,430.473,2.55822,404.969,2.48108,293.033,2.14264,293.033,2.14264,313.126,2.20372,173.224,1.69587,173.224,1.69587,206.409,1.82746,150.143,1.59442,150.143,1.59442,168.148,1.67077,149.363,1.59086,149.363,1.59086,84.574,1.25424,93.146,1.30644,93.146,1.30644,41.787,0.95886,83.036,1.24737,83.036,1.24737,NA,NA,NA,17b,17,1,HUC-17,HUC-1701,HUC-170102,HUC-17010206,HUC-1701020605,HUC-170102060507,0,1988,0,0,0,NA,0.27,73.25,0,0.04,1.47,0,0.01,0,0.35,0.28,24.16,0,0,0,0,0.17,8.33818070455,0,0,116.04112790284658,0,1131.42506212,2.80596280939,0,0,10.873413392419193,0,0,0.1372,0,0,661.6415,-2.7313513293700002,0,72.8353,0,1.0170169815469443,0,0.192,0,182.7190385298445,0,5.947207009116588,0,0,0,100,34.40147362278639
Logging_Creek,22949389,-114.185106,48.701412,2332609,2001-02-27 21:00:00,Medium,786456,Logging Creek,6.951,17010206000066,With Digitized,0,StreamRiver,46006,0.0776993299403869,4,3,3,50006070,50006069,50023898,50023055,1833.973,50001315,83.794,0,0,0,4,50023055,50024352,50023055,0,1,50023466,0,100,0,0,0,12.8259,101.0205,101.0205,0,0.182367752452, ,1085.32325467,NA,-9998,104549,115812,104918,0.01567256,0, ,6.951,76.031,1.44982,74.014,1.44734,74.014,1.44734,10.379,0.70487,41.227,1.14315,41.227,1.14315,5.142,0.58145,31.622,1.03348,31.622,1.03348,10.302,0.7033,28.683,0.99687,28.683,0.99687,64.205,1.35182,73.629,1.44419,73.629,1.44419,150.042,1.946,151.791,1.97617,151.791,1.97617,166.857,2.04103,162.781,2.03924,162.781,2.03924,144.791,1.91532,102.477,1.66214,102.477,1.66214,123.088,1.78256,74.246,1.44923,74.246,1.44923,99.552,1.62546,82.074,1.5116,82.074,1.5116,75.426,1.44499,75.676,1.46085,75.676,1.46085,42.351,1.14497,47.569,1.20904,47.569,1.20904,20.699,0.88041,45.068,1.18358,45.068,1.18358,NA,NA,NA,17b,17,1,HUC-17,HUC-1701,HUC-170102,HUC-17010206,HUC-1701020605,HUC-170102060503,0,1988,0,0,0,0,8.55,64.67,0,0.04,4.1,0,0,0.85,0.13,4.93,16.63,0,0,0,0.06,0.05,8.83775142411,6.21,0.6,121.75290377306631,0,1220.19180566,3.23169781606,0,0,12.341425254238894,0,0,1.4153,0,0,670.4269,-2.3789190775,0,70.081,0,0.8981315692202709,0,0.2159,0,182.88,0,5.196471837059644,0,0,0,93.19,35.38034252352836
