response_var,held_out_study,training_study,inner_fold
DOC,Burd et al 2018,Crandall et al. 2021,1
DOC,Burd et al 2018,Hickenbottom et al. 2023,2
DOC,Burd et al 2018,Mast & Clow; 2008,3
DOC,Burd et al 2018,Murphy et al. 2018,4
DOC,Burd et al 2018,Rhea et al. 2021,5
DOC,Burd et al 2018,Uzun et al. 2020,1
DOC,Burd et al 2018,Wagner et al. 2015,2
DOC,Burd et al 2018,Writer et al. 2014,3
DOC,Crandall et al. 2021,Burd et al 2018,1
DOC,Crandall et al. 2021,Hickenbottom et al. 2023,2
DOC,Crandall et al. 2021,Mast & Clow; 2008,3
DOC,Crandall et al. 2021,Murphy et al. 2018,4
DOC,Crandall et al. 2021,Rhea et al. 2021,5
DOC,Crandall et al. 2021,Uzun et al. 2020,1
DOC,Crandall et al. 2021,Wagner et al. 2015,2
DOC,Crandall et al. 2021,Writer et al. 2014,3
DOC,Hickenbottom et al. 2023,Burd et al 2018,1
DOC,Hickenbottom et al. 2023,Crandall et al. 2021,2
DOC,Hickenbottom et al. 2023,Mast & Clow; 2008,3
DOC,Hickenbottom et al. 2023,Murphy et al. 2018,4
DOC,Hickenbottom et al. 2023,Rhea et al. 2021,5
DOC,Hickenbottom et al. 2023,Uzun et al. 2020,1
DOC,Hickenbottom et al. 2023,Wagner et al. 2015,2
DOC,Hickenbottom et al. 2023,Writer et al. 2014,3
DOC,Mast & Clow; 2008,Burd et al 2018,1
DOC,Mast & Clow; 2008,Crandall et al. 2021,2
DOC,Mast & Clow; 2008,Hickenbottom et al. 2023,3
DOC,Mast & Clow; 2008,Murphy et al. 2018,4
DOC,Mast & Clow; 2008,Rhea et al. 2021,5
DOC,Mast & Clow; 2008,Uzun et al. 2020,1
DOC,Mast & Clow; 2008,Wagner et al. 2015,2
DOC,Mast & Clow; 2008,Writer et al. 2014,3
DOC,Murphy et al. 2018,Burd et al 2018,1
DOC,Murphy et al. 2018,Crandall et al. 2021,2
DOC,Murphy et al. 2018,Hickenbottom et al. 2023,3
DOC,Murphy et al. 2018,Mast & Clow; 2008,4
DOC,Murphy et al. 2018,Rhea et al. 2021,5
DOC,Murphy et al. 2018,Uzun et al. 2020,1
DOC,Murphy et al. 2018,Wagner et al. 2015,2
DOC,Murphy et al. 2018,Writer et al. 2014,3
DOC,Rhea et al. 2021,Burd et al 2018,1
DOC,Rhea et al. 2021,Crandall et al. 2021,2
DOC,Rhea et al. 2021,Hickenbottom et al. 2023,3
DOC,Rhea et al. 2021,Mast & Clow; 2008,4
DOC,Rhea et al. 2021,Murphy et al. 2018,5
DOC,Rhea et al. 2021,Uzun et al. 2020,1
DOC,Rhea et al. 2021,Wagner et al. 2015,2
DOC,Rhea et al. 2021,Writer et al. 2014,3
DOC,Uzun et al. 2020,Burd et al 2018,1
DOC,Uzun et al. 2020,Crandall et al. 2021,2
DOC,Uzun et al. 2020,Hickenbottom et al. 2023,3
DOC,Uzun et al. 2020,Mast & Clow; 2008,4
DOC,Uzun et al. 2020,Murphy et al. 2018,5
DOC,Uzun et al. 2020,Rhea et al. 2021,1
DOC,Uzun et al. 2020,Wagner et al. 2015,2
DOC,Uzun et al. 2020,Writer et al. 2014,3
DOC,Wagner et al. 2015,Burd et al 2018,1
DOC,Wagner et al. 2015,Crandall et al. 2021,2
DOC,Wagner et al. 2015,Hickenbottom et al. 2023,3
DOC,Wagner et al. 2015,Mast & Clow; 2008,4
DOC,Wagner et al. 2015,Murphy et al. 2018,5
DOC,Wagner et al. 2015,Rhea et al. 2021,1
DOC,Wagner et al. 2015,Uzun et al. 2020,2
DOC,Wagner et al. 2015,Writer et al. 2014,3
DOC,Writer et al. 2014,Burd et al 2018,1
DOC,Writer et al. 2014,Crandall et al. 2021,2
DOC,Writer et al. 2014,Hickenbottom et al. 2023,3
DOC,Writer et al. 2014,Mast & Clow; 2008,4
DOC,Writer et al. 2014,Murphy et al. 2018,5
DOC,Writer et al. 2014,Rhea et al. 2021,1
DOC,Writer et al. 2014,Uzun et al. 2020,2
DOC,Writer et al. 2014,Wagner et al. 2015,3
NO3,Coombs & Melack; 2013,Crandall et al. 2021,1
NO3,Coombs & Melack; 2013,Gerla & Galloway; 1998,2
NO3,Coombs & Melack; 2013,Gluns & Toews; 1989,3
NO3,Coombs & Melack; 2013,Hauer & Spencer 1998,4
NO3,Coombs & Melack; 2013,Hickenbottom et al. 2023,5
NO3,Coombs & Melack; 2013,Mast & Clow; 2008,1
NO3,Coombs & Melack; 2013,Murphy et al. 2018,2
NO3,Coombs & Melack; 2013,Neary & Currier; 1982,3
NO3,Coombs & Melack; 2013,Oliver et al. 2012,4
NO3,Coombs & Melack; 2013,Rhea et al. 2021,5
NO3,Coombs & Melack; 2013,Tiedemann; 1973,1
NO3,Coombs & Melack; 2013,Uzun et al. 2020,2
NO3,Coombs & Melack; 2013,Writer et al. 2014,3
NO3,Crandall et al. 2021,Coombs & Melack; 2013,1
NO3,Crandall et al. 2021,Gerla & Galloway; 1998,2
NO3,Crandall et al. 2021,Gluns & Toews; 1989,3
NO3,Crandall et al. 2021,Hauer & Spencer 1998,4
NO3,Crandall et al. 2021,Hickenbottom et al. 2023,5
NO3,Crandall et al. 2021,Mast & Clow; 2008,1
NO3,Crandall et al. 2021,Murphy et al. 2018,2
NO3,Crandall et al. 2021,Neary & Currier; 1982,3
NO3,Crandall et al. 2021,Oliver et al. 2012,4
NO3,Crandall et al. 2021,Rhea et al. 2021,5
NO3,Crandall et al. 2021,Tiedemann; 1973,1
NO3,Crandall et al. 2021,Uzun et al. 2020,2
NO3,Crandall et al. 2021,Writer et al. 2014,3
NO3,Gerla & Galloway; 1998,Coombs & Melack; 2013,1
NO3,Gerla & Galloway; 1998,Crandall et al. 2021,2
NO3,Gerla & Galloway; 1998,Gluns & Toews; 1989,3
NO3,Gerla & Galloway; 1998,Hauer & Spencer 1998,4
NO3,Gerla & Galloway; 1998,Hickenbottom et al. 2023,5
NO3,Gerla & Galloway; 1998,Mast & Clow; 2008,1
NO3,Gerla & Galloway; 1998,Murphy et al. 2018,2
NO3,Gerla & Galloway; 1998,Neary & Currier; 1982,3
NO3,Gerla & Galloway; 1998,Oliver et al. 2012,4
NO3,Gerla & Galloway; 1998,Rhea et al. 2021,5
NO3,Gerla & Galloway; 1998,Tiedemann; 1973,1
NO3,Gerla & Galloway; 1998,Uzun et al. 2020,2
NO3,Gerla & Galloway; 1998,Writer et al. 2014,3
NO3,Gluns & Toews; 1989,Coombs & Melack; 2013,1
NO3,Gluns & Toews; 1989,Crandall et al. 2021,2
NO3,Gluns & Toews; 1989,Gerla & Galloway; 1998,3
NO3,Gluns & Toews; 1989,Hauer & Spencer 1998,4
NO3,Gluns & Toews; 1989,Hickenbottom et al. 2023,5
NO3,Gluns & Toews; 1989,Mast & Clow; 2008,1
NO3,Gluns & Toews; 1989,Murphy et al. 2018,2
NO3,Gluns & Toews; 1989,Neary & Currier; 1982,3
NO3,Gluns & Toews; 1989,Oliver et al. 2012,4
NO3,Gluns & Toews; 1989,Rhea et al. 2021,5
NO3,Gluns & Toews; 1989,Tiedemann; 1973,1
NO3,Gluns & Toews; 1989,Uzun et al. 2020,2
NO3,Gluns & Toews; 1989,Writer et al. 2014,3
