Study_ID,DOI,Design (Control/Burn; Pre/Post),Latitude,Longitude,Area_watershed,Area_unit,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Goodale et al. 2000,10.1007/s100210000039,Control_Reference_vs_Impact,44.257796,-71.31973,30.67,ha,Control ,,Glen Boulder,10/1/96,Unburn,80,Mean_Mean,,,,,79.0960452,ug_L_N,,,NO3-N Fig 3,Figure 3 are the monthly concentrations. The plotted concentrations are the mean (+-) 1SD of two to four streams at each site. Figure 4 takes the average between all the old-growth and compares that with the burn. Figure 4 has DOC and N03-N. There are no lat/longs for each watershed. Fig 1 has a map but there are no coordinates on it for us to extract. We could potentially find them on google maps but might be tough And the burns are 80-110 years old so do we even want to group that with our >10 year bucket cause it would be a tad different. Watershed characteristics are included in Table 1. 
Goodale et al. 2001,10.1007/s100210000039,Control_Reference_vs_Impact,,,30.67,ha,Control ,,Glen Boulder,11/1/96,Unburn,80,Mean_Mean,,,,,87.00564972,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2002,10.1007/s100210000039,Control_Reference_vs_Impact,,,30.67,ha,Control ,,Glen Boulder,1/1/97,Unburn,80,Mean_Mean,,,,,172.0338983,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2003,10.1007/s100210000039,Control_Reference_vs_Impact,,,30.67,ha,Control ,,Glen Boulder,2/1/97,Unburn,80,Mean_Mean,,,,,193.7853107,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2004,10.1007/s100210000039,Control_Reference_vs_Impact,,,30.67,ha,Control ,,Glen Boulder,3/1/97,Unburn,80,Mean_Mean,,,,,231.3559322,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2005,10.1007/s100210000039,Control_Reference_vs_Impact,,,30.67,ha,Control ,,Glen Boulder,4/1/97,Unburn,80,Mean_Mean,,,,,261.0169492,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2006,10.1007/s100210000039,Control_Reference_vs_Impact,,,30.67,ha,Control ,,Glen Boulder,5/1/97,Unburn,80,Mean_Mean,,,,,154.2372881,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2007,10.1007/s100210000039,Control_Reference_vs_Impact,,,30.67,ha,Control ,,Glen Boulder,6/1/97,Unburn,80,Mean_Mean,,,,,79.0960452,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2008,10.1007/s100210000039,Control_Reference_vs_Impact,,,30.67,ha,Control ,,Glen Boulder,7/1/97,Unburn,80,Mean_Mean,,,,,90.96045198,ug_L_N,,,NO3-N Fig 3,
Goodale et al. 2009,10.1007/s100210000039,Control_Reference_vs_Impact,,,30.67,ha,Control ,,Glen Boulder,8/1/97,Unburn,80,Mean_Mean,,,,,41.52542373,ug_L_N,,,NO3-N Fig 3,
