Study_ID,Site,Effect_size_pair,Fire_N/Ame,Fire_year,Data_collection_years,Vegetation_year_pull,latitude,longitude,Area_watershed,burn_percentage,Reports_Size,Reports_Burn_Percentage,Reports_Coords,Have_HUC
Abbott et al. 2021,AN/Aktuvuk Fire,N/A,AN/Aktuvuk Fire,MTBS_2007Ws,2017,2017,69.047,-150.837,-9999,-9999,N/A,N/A,N/A,N/A
Burd et al 2018,Notawohka Creek,lnR1,Northwest Territories Fire ,MTBS_2013Ws,2016,2016,61.133333,-120.283333,321,90,Y,Y,Y,N_CaN/Ada
Burd et al 2018,Scotty Creek,N/A,Northwest Territories Fire ,MTBS_2013Ws,2016,2016,61.4,-121.433,134,0,Y,Y,Y,N_CaN/Ada
Burd et al 2018,N/A,N/A,Northwest Territories Fire ,MTBS_2013Ws,2016,2016,-9999,-9999,-9999,-9999,N/A,N/A,N/A,N/A
Coombs & Melack; 2013,Arroyo Hondo,lnR3,Gaviota Fire ,MTBS_2004Ws,2005,2006,34.475086,-120.14228,10.85,18,Y,Y,N_Hampton,Y
Coombs & Melack; 2013,Gaviota,lnR2,Gaviota Fire ,MTBS_2004Ws,2005,2006,34.484966,-120.229926,52.16,12,Y,Y,N_Hampton,Y
Coombs & Melack; 2013,RattlesN/Ake,N/A,Gaviota Fire ,MTBS_2004Ws,2005,2006,35.526656,-118.856815,5.74,0,Y,N,N_Hampton,Y
Coombs & Melack; 2013,San Onofre,lnR1,Gaviota Fire ,MTBS_2004Ws,2005,2006,34.472966,-120.187279,5.26,98.9419,Y,Y,N_Hampton,Y
Coombs & Melack; 2013,N/A,N/A,Gaviota Fire ,MTBS_2004Ws,2005,2006,-9999,-9999,-9999,-9999,N/A,N/A,N/A,N/A
Crandall et al. 2021,Benjamin Slough,lnR1,Pole Creek Fire Complex,MTBS_2008Ws,2018,2019,40.134567,-111.791953,219,67,Y,Y,N_Google,Y_not quite the same watershed; and the sus points doesn’t get the exact one correctly
Crandall et al. 2021,Dry Creek,N/A,Pole Creek Fire Complex,MTBS_2008Ws,2018,2019,40.180113,-111.669809,30,0,Y,Y,N_Google,Y_not quite the same watershed; and the sus points doesn’t get the exact one correctly
Crandall et al. 2021,Hobble Creek Lower,N/A,Pole Creek Fire Complex,MTBS_2008Ws,2018,2019,40.184012,-111.647362,324,0,Y,Y,N_Google,Y_same COMID as upper
Crandall et al. 2021,Hobble Creek Upper,N/A,Pole Creek Fire Complex,MTBS_2008Ws,2018,2019,40.157766,-111.5979,280,0,Y,Y,N_Google,Y
Crandall et al. 2021,Mill Race,N/A,Pole Creek Fire Complex,MTBS_2008Ws,2018,2019,40.200989,-111.659265,47,0,Y,Y,N_Google,Y
Crandall et al. 2021,Mitsubishi Race,N/A,Pole Creek Fire Complex,MTBS_2008Ws,2018,2019,40.192393,-111.652799,3,0,Y,Y,N_Google,Y_not quite the same watershed; and the sus points doesn’t get the exact one correctly
Crandall et al. 2021,Payson,lnR2,Pole Creek Fire Complex,MTBS_2008Ws,2018,2019,39.974595,-111.702362,54,90,Y,Y,N_Google,Y_pretty far off; looks like it is a subset of the Benjamin slough COMID; Had to change the comid and now we are good
Crandall et al. 2021,Provo River,N/A,Pole Creek Fire Complex,MTBS_2008Ws,2018,2019,40.234889,-111.724869,1769,0,Y,Y,N_Google,Y
Crandall et al. 2021,Spanish Fork Lower,lnR3,Pole Creek Fire Complex,MTBS_2008Ws,2018,2019,40.103145,-111.681659,1712,24,Y,Y,N_Google,Y_pretty far off; the sus points doesn’t get the correct watershed
Crandall et al. 2021,Spanish Fork Upper,lnR4,Pole Creek Fire Complex,MTBS_2008Ws,2018,2019,40.071704,-111.57715,1650,25,Y,Y,N_Google,Y
Crandall et al. 2021,N/A,N/A,Pole Creek Fire Complex,MTBS_2008Ws,2018,2019,-9999,-9999,-9999,-9999,N/A,N/A,N/A,N/A
Gerla & Galloway; 1998,Crow Creek,N/A,Clover-Mist Wildfire ,MTBS_1988Ws,1989_1990_1991_1992_1993,2001,44.51295,-109.984156,494.6,9.1827,Y,N,N_Hampton,Y
Gerla & Galloway; 1998,Jones Creek,lnR1,Clover-Mist Wildfire ,MTBS_1988Ws,1989_1990_1991_1992_1993,2001,44.558208,-109.995153,642.3,96.1969,Y,N,N_Hampton,Y
Gerla & Galloway; 1998,N/A,N/A,Clover-Mist Wildfire ,MTBS_1988Ws,1989_1990_1991_1992_1993,2001,-9999,-9999,-9999,-9999,N/A,N/A,N/A,N/A
Gluns & Toews; 1989,East Fork,lnR1,Matt fire,MTBS_1985Ws,1985_1986_1987_1988,2001,49.70434,-116.118877,20.9,26.1,Y,Y,N_Google,N_CaN/Ada
Gluns & Toews; 1989,Middle Fork,lnR2,Matt fire,MTBS_1985Ws,1985_1986_1987_1988,2001,49.712888,-116.122217,34.5,32.8,Y,Y,N_Google,N_CaN/Ada
Gluns & Toews; 1989,West Fork,N/A,Matt fire,MTBS_1985Ws,1985_1986_1987_1988,2001,49.706719,-116.140608,37.8,0,Y,Y,N_Google,N_CaN/Ada
Gluns & Toews; 1989,N/A,N/A,Matt fire,MTBS_1985Ws,1985_1986_1987_1988,2001,-9999,-9999,-9999,-9999,N/A,N/A,N/A,N/A
Hauer & Spencer 1998,Akokala_Creek,lnR3,Red Bench Fire ,MTBS_1988Ws,1988_1989_1990_1991_1993,2001,48.797378,-114.286749,105.98,9.9,Y,Y,N_Hampton,Y
Hauer & Spencer 1998,Bowman_Creek,lnR4,Red Bench Fire ,MTBS_1988Ws,1988_1989_1990_1991_1993,2001,48.790458,-114.274616,130.13,11.3,Y,Y,N_Hampton,Y
Hauer & Spencer 1998,Coal_Creek,N/A,Red Bench Fire ,MTBS_1988Ws,1988_1989_1990_1991_1993,2001,48.688413,-114.199739,211.59,0,Y,Y,N_Hampton,Y
Hauer & Spencer 1998,Logging_Creek,N/A,Red Bench Fire ,MTBS_1988Ws,1988_1989_1990_1991_1993,2001,48.701412,-114.185106,238.08,1.5154,Y,Y,N_Hampton,Y_size is pretty off_sus_points didn’t work
Hauer & Spencer 1998,Quartz_Creek,lnR5,Red Bench Fire ,MTBS_1988Ws,1988_1989_1990_1991_1993,2001,48.72261,-114.225834,136.29,29.4,Y,Y,N_Hampton,Y
Hauer & Spencer 1998,Red_Bench_Creek,lnR1,Red Bench Fire ,MTBS_1988Ws,1988_1989_1990_1991_1993,2001,48.81409,-114.39971,1.83,95.6,Y,Y,N_Hampton,Y
Hauer & Spencer 1998,Red_Meadow_Creek,lnR2,Red Bench Fire ,MTBS_1988Ws,1988_1989_1990_1991_1993,2001,48.802772,-114.32894,64,24.087,Y,Y,N_Hampton,Y
Hauer & Spencer 1998,Wally_Creek ,N/A,Red Bench Fire ,MTBS_1988Ws,1988_1989_1990_1991_1993,2001,48.80153,-114.436506,2.38,93.5391,Y,Y,N_Hampton,Y
Hauer & Spencer 1998,N/A,N/A,Red Bench Fire ,MTBS_1988Ws,1988_1989_1990_1991_1993,2001,-9999,-9999,-9999,-9999,N/A,N/A,N/A,N/A
Hickenbottom et al. 2023,Cold_Creek,N/A,Caldor Fire,MTBS_2021Ws,2021,2019,38.898689,-119.948785,30.3471,N/A,N_got_from_HUC,N,N_Google,Y_cant confirm size cause its not in text
Hickenbottom et al. 2023,Middle_Fork,lnR2,Mosquito Fire,MTBS_2022Ws,2022,2019,38.958701,-120.920501,1520.7759,N/A,N_got_from_HUC,N,N_Google,Y_cant confirm size cause its not in text
Hickenbottom et al. 2023,North_Fork,N/A,Mosquito Fire,MTBS_2022Ws,2022,2019,39.000053,-120.939907,856.9953,N/A,N_got_from_HUC,N,N_Google,Y_cant confirm size cause its not in text
Hickenbottom et al. 2023,Trout_Creek,lnR1,Caldor Fire,MTBS_2021Ws,2021,2019,38.88376,-119.978005,56.0808,N/A,N_got_from_HUC,N,N_Google,Y_cant confirm size cause its not in text
Hickenbottom et al. 2023,N/A,N/A,Caldor Fire,MTBS_2021Ws,2021,2019,-9999,-9999,-9999,-9999,N/A,N/A,N/A,N/A
Mast & Clow; 2008,Coal,lnR1,Rampage Fire_Robert Fire_Trapper Fire,MTBS_2003Ws,2003_2004_2005_2006_2007,2004,48.418961,-113.696178,96.4,51,Y,Y,N_Hampton,Y
Mast & Clow; 2008,Coal,lnR1,Rampage Fire_Robert Fire_Trapper Fire,MTBS_2003Ws,2003_2004_2005_2006_2007,2008,48.418961,-113.696178,96.4,51,Y,Y,N_Hampton,Y
Mast & Clow; 2008,Fish Creek,lnR2_post,Rampage Fire_Robert Fire_Trapper Fire,MTBS_2003Ws,2003_2004_2005_2006_2007,2004_2008,48.54888888,-113.9858333,42.6,73,Y,Y,N_Hampton,Y
Mast & Clow; 2008,Lower MacDoN/Ald Creek,lnR3_post,Rampage Fire_Robert Fire_Trapper Fire,MTBS_2003Ws,2003_2004_2005_2006_2007,2004_2008,48.525536,-113.997184,450,31.3921,Y,Y,N_Hampton,Y
