MethodCode,MethodDescription,MethodLink
Batt,Battery voltage reading,
Pressure_2,CS100 Setra 278 Barometer (600-1100 hPa),
Temp_RH_2,HMP45C-L15 Vaisala Temperature/RH Probe,
Wind_1,WINDSONIC1-L15 Gill 2-D Sonic Wind Sensor,
RainGage_2,385-L50-LP50 Met One AC Heated Rain Gage with 0.01inch orifice,
DecagonMPS1,Decagon MPS-1 sensors record water potential in kPa or voltage in mV which can then be calibrated to a water potential or an equation suggested by Decagon can be used ,
Decagon5TE,Decagon 5TE Water Content EC and Temperature Sensors,
Wind_Sonic_1,3-D Sonic Anemometer CSI CSAT or CSAT3,
Pressure_3,Barometer Vaisala PTB101B,
GasAnalyzer_1,Infared Gas Analyzer LI-COR LI-7500,
NetRad_1,Net Radiometer Kipp and Zonen CNR1,
SoilHeat_1,Soil Heat Flux Plate REBS HFT3.1 or HFT1,
SoilTemp_1,Soil Thermocouple Probe CSI TCAV,
RainGage_3,Tipping Bucket Rain Gauge CSI TE525WS,
SoilWater_1,Water Content Reflectometer CSI CS615 or CS616,
EddyCov_1,Open path Eddy Covariance using LI-COR LI-7500 and CSI CSAT3,
GPP_1,Calculated as Ecosystem Respiration (RE) - Net Ecosystem Exchange (NEE),
KippZonen_1,Kipp and Zonen PAR-Lite,
Reco_1,Computation based on Lasslop et al. 2010,
EddyCov_2,CSI CSAT3 and Temperature/Humidity Probe Vaisala HMP45C,
GPP_2,Calculated as Ecosystem Respiration Filled (RE_filled) - Net Ecosystem Exchange Filled (NEE_filled),
GapFilled_1,Gap filling using Reichstein online gapfilling tool following Lasslop et al 2010,
FillFlag,Gap filling flag where 1 represents filled data,
Onset_RH_1,Onset HOBO Humidity Data Logger,
KippZonen_2,Kipp and Zonen - NR Lite2 Net Radiometer ,
DailyAvg30,Daily average value derived from 30 minute continuous values,
DailyMin30,Daily minimum value derived from 30 minute continuous values,
DailySum30,Daily incremental/sum value derived from 30 minute continuous values,
DecagonMPS2,Decagon MPS-2 sensors record temperature in degC and water potential in kPa or voltage in mV which can then be calibrated to a matric potential or an equation suggested by Decagon can be used,
RainGage_4,TE525 Texas Electronics Tipping Bucket Rain Gages coupled with CS705 Precipitation Adapter ,
NetRad_2,CNR4-L15 Kipp and Zonen 4-Component Net Radiation Sensor,
IncLongCorr,CALCULATED by datalogger as IncLong_corr = IncLong + 5.67*exp(-8*T^4) where T is CRN Radiometer temperature in K,
OutLongCorr,CALCULATED by datalogger as OutLong_corr = OutLong + 5.67*exp(-8*T^4) where T is CRN Radiometer temperature in K,
NetShortWave,CALCULATED by datalogger as NetShort = IncShort - OutShort,
NetLongWave,CALCULATED by datalogger as NetLong = IncLong - OutLong,
CompAlbedo,CALCULATED by datalogger as Albedo = OutShort/IncShort,
NetRad,CALCULATED by datalogger as NetRadiation = NetSHort + NetLong,
DailyAlbedo,Daily average value computed from values measured between 10 am and 2 pm local time.,
DailyAvg30corr,Daily average value derived from 30 minute continuous values for corrected values,
SnowDepth_1,"Ultrasonic depth sensor, Judd Communications LLC",http://juddcom.com/#Depth
SapFlow_1,Sap flow measurement and computation,http://www.czo.arizona.edu/czo_data/MethodsSites/jemez/SapFlowMeasurement.pdf
ParshallFlume12,Stream flow measured using the 12 inch Parshall flume and pressure measurements in the bottom of the stilling well.,http://www.czo.arizona.edu/czo_data/MethodsSites/jemez/StreamFlowMeasurement.pdf
ParshallFlume18,Stream flow measured using the 18 inch Parshall flume and pressure measurements in the bottom of the stilling well.,http://www.czo.arizona.edu/czo_data/MethodsSites/jemez/StreamFlowMeasurement.pdf
ParshallFlume6,Stream flow measured using the 6 inch Parshall flume and pressure measurements in the bottom of the stilling well.,http://www.czo.arizona.edu/czo_data/MethodsSites/jemez/StreamFlowMeasurement.pdf
