Study_ID,Site,Burn_Unburn,Fire_name,Watershed_Size_km,burn_percentage
Abbott et al. 2021,BS.11,Unburn,Anaktuvuk River (2007),33.99003,-9999
Abbott et al. 2021,BS.10,Burn,Anaktuvuk River (2007),36.46035,-9999
Burd et al 2018,Notawohka Creek,Unburn,Northwest Territories Fire ,321,90
Burd et al 2018,Scotty Creek,Burn,Northwest Territories Fire ,134,0
Coombs & Melack; 2013_1,Rattlesnake,Unburn,Gaviota Fire,5.74,-9999
Coombs & Melack; 2013_1,San Onofre,Burn,Gaviota Fire,5.26,-9999
Coombs & Melack; 2013_2,Rattlesnake,Unburn,Gaviota Fire,5.74,-9999
Coombs & Melack; 2013_2,Gaviota,Burn,Gaviota Fire,52.16,-9999
Coombs & Melack; 2013_3,Rattlesnake,Unburn,Gaviota Fire,5.74,-9999
Coombs & Melack; 2013_3,Arroyo Hondo,Burn,Gaviota Fire,10.85,-9999
Crandall et al. 2021_1,Hobble Creek Lower,Unburn,Pole Creek Fire Complex,324,-9999
Crandall et al. 2021_1,Benjamin Slough,Burn,Pole Creek Fire Complex,319,-9999
Crandall et al. 2021_2,Dry Creek,Unburn,Pole Creek Fire Complex,30,-9999
Crandall et al. 2021_2,Payson,Burn,Pole Creek Fire Complex,54,-9999
Crandall et al. 2021_3,Provo River,Unburn,Pole Creek Fire Complex,1769,-9999
Crandall et al. 2021_3,Spanish Fork Lower,Burn,Pole Creek Fire Complex,1712,-9999
Crandall et al. 2021_4,Provo River,Unburn,Pole Creek Fire Complex,1769,-9999
Crandall et al. 2021_4,Spanish Fork Upper,Burn,Pole Creek Fire Complex,1650,-9999
Gerla & Galloway; 1998,Crow Creek,Unburn,Clover-Mist Wildfire ,49.46,-9999
Gerla & Galloway; 1998,Jones Creek,Burn,Clover-Mist Wildfire ,64.23,-9999
Gluns & Toews; 1989_1,West Fork,Unburn,Matt fire,37.8,-9999
Gluns & Toews; 1989_1,East Fork,Burn,Matt fire,20.9,-9999
Gluns & Toews; 1989_2,West Fork,Unburn,Matt fire,37.8,-9999
Gluns & Toews; 1989_2,Middle Fork,Burn,Matt fire,34.5,-9999
Hauer & Spencer 1998_1,Wally_Creek ,Unburn,Red Bench Fire ,2.38,-9999
Hauer & Spencer 1998_1,Red_Bench_Creek,Burn,Red Bench Fire ,1.83,-9999
Hauer & Spencer 1998_2,Coal_Creek,Unburn,Red Bench Fire ,211.59,-9999
Hauer & Spencer 1998_2,Red_Meadow_Creek,Burn,Red Bench Fire ,64,-9999
Hauer & Spencer 1998_3,Logging_Creek,Unburn,Red Bench Fire ,238.08,-9999
Hauer & Spencer 1998_3,Akokala_Creek,Burn,Red Bench Fire ,105.98,-9999
Hauer & Spencer 1998_4,Logging_Creek,Unburn,Red Bench Fire ,238.08,-9999
Hauer & Spencer 1998_4,Bowman_Creek,Burn,Red Bench Fire ,130.13,-9999
Hauer & Spencer 1998_5,Logging_Creek,Unburn,Red Bench Fire ,238.08,-9999
Hauer & Spencer 1998_5,Quartz_Creek,Burn,Red Bench Fire ,136.29,-9999
Hickenbottom et al. 2023_1,Cold_Creek,Unburn,Caldor Fire,30.3471,-9999
Hickenbottom et al. 2023_1,Trout_Creek,Burn,Caldor Fire,56.0808,-9999
Hickenbottom et al. 2023_2,North_Fork,Unburn,Mosquito Fire,856.9953,-9999
Hickenbottom et al. 2023_2,Middle_Fork,Burn,Mosquito Fire,1520.7759,-9999
Mast & Clow; 2008,Pinchot,Unburn,Rampage Fire,47.3,-9999
Mast & Clow; 2008,Coal,Burn,Rampage Fire,96.4,-9999
Murphy et al. 2015_1,US1,Unburn,Fourmile Canyon Fire,25.9,-9999
Murphy et al. 2015_1,DS1,Burn,Fourmile Canyon Fire,37,-9999
Murphy et al. 2015_2,US1,Unburn,Fourmile Canyon Fire,25.9,-9999
Murphy et al. 2015_2,DS2,Burn,Fourmile Canyon Fire,50,-9999
Murphy et al. 2015_3,US1,Unburn,Fourmile Canyon Fire,25.9,-9999
Murphy et al. 2015_3,DS3,Burn,Fourmile Canyon Fire,63.1,-9999
Murphy et al. 2018_1,US1,Unburn,Fourmile Canyon Fire,25.9,-9999
