"Study_ID","response_var","Koppen","TSF","Ne","Nc","Xe1","Xe2","Xe3","Xe4","Xe5","Xe6","Xe7","Xe8","Xe9","Xe10","Xc","percent_change1","percent_change2","percent_change3","percent_change4","percent_change5","percent_change6","percent_change7","percent_change8","percent_change9","percent_change10","Xc123","Xc4","Xc5","Climate"
"1","DOC_mg_C_L","Dfb","0-1 years",20,8,4.56666666666667,3.3,NA,NA,NA,NA,NA,NA,NA,NA,3.0875,47.9082321187584,6.88259109311739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cold"
"1","NH4_mg_per_L_as_NH4","Dfb","0-1 years",20,8,0.0819382852857354,0.0262888026607539,NA,NA,NA,NA,NA,NA,NA,NA,0.0262888026607539,211.685116827552,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cold"
"1","NO3_mg_per_L_as_Nitrate","Dfb","0-1 years",20,8,0.0848655914025,0.04544354839125,NA,NA,NA,NA,NA,NA,NA,NA,0.0172459677424516,392.089470825114,163.502455008013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cold"
"1","STDEV_DOC","Dfb","0-1 years",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.348477978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cold"
"1","TDN_mg_N_per_L","Dfb","0-1 years",16,6,0.601,0.26,NA,NA,NA,NA,NA,NA,NA,NA,0.128333333333333,368.311688311688,102.597402597403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cold"
"10","NH4_mg_per_L_as_NH4","BSk","0-1 years",12,6,16.8383333333333,30.0866666666667,NA,NA,NA,NA,NA,NA,NA,NA,14.165,18.8728085657136,112.401458995176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arid"
"10","NO3_mg_per_L_as_Nitrate","BSk","0-1 years",2,1,310,427.8,NA,NA,NA,NA,NA,NA,NA,NA,142.6,117.391304347826,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arid"
"10","STER_NH4","BSk","0-1 years",12,6,3.80833333333333,9.72333333333333,NA,NA,NA,NA,NA,NA,NA,NA,3.47333333333333,9.64491362763917,179.942418426104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arid"
"10","STER_NO3","BSk","0-1 years",2,1,12.4,415.4,NA,NA,NA,NA,NA,NA,NA,NA,62,-80,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arid"
"11","DOC_mg_C_L","Cfb","0-1 years",252,72,4.8710843373494,4.65769230769231,3.02030769230769,NA,NA,NA,NA,NA,NA,NA,2.35805555555556,106.57207697559,97.5225857897551,28.0846706597678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Temperate"
"11","DOC_mg_C_L","Cfb","2-3 years",195,64,2.75410714285714,3.90338235294118,4.98183098591549,NA,NA,NA,NA,NA,NA,NA,2.99546875,-8.05755717340925,30.3095668396199,66.3122336334002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Temperate"
"11","DOC_mg_C_L","Cfb","4-5 years",103,33,2.50151515151515,2.56133333333333,3.14046511627907,NA,NA,NA,NA,NA,NA,NA,2.63272727272727,-4.98388581952118,-2.71178637200737,19.2856225106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Temperate"
"11","NH4_mg_per_L_as_NH4","Cfb","0-1 years",215,71,0.135419787856137,0.0951421084458177,0.0665708148564995,NA,NA,NA,NA,NA,NA,NA,0.066456387995378,103.772416679575,43.1647300067447,0.172183389096274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Temperate"
"11","NH4_mg_per_L_as_NH4","Cfb","2-3 years",195,64,0.0315964523279641,0.0463349419570898,0.0695168795464346,NA,NA,NA,NA,NA,NA,NA,0.0322547117513948,-2.04081632632261,43.6532507691255,115.524727308804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Temperate"
"11","NH4_mg_per_L_as_NH4","Cfb","4-5 years",100,32,0.0315271618623822,0.0310421286031042,0.0312269031780303,NA,NA,NA,NA,NA,NA,NA,0.0310421286031042,1.56249999953124,0,0.595238094940481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Temperate"
"11","NO3_mg_per_L_as_Nitrate","Cfb","0-1 years",254,73,0.158390983280866,0.115010752694302,0.0417741935464081,NA,NA,NA,NA,NA,NA,NA,0.0292620415379956,441.284800909062,293.037350264727,42.7589851930393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Temperate"
