Site,comid,PctLow Burn SeverityWs_2018,PctModerate Burn SeverityWs_2018,PctHigh Burn SeverityWs_2018,geometry
Site_3,8943613,0,0,0,"c(-120.009019, 38.873743)"
Reference,15032969,0,0,0,"c(-122.10013, 38.499918)"
Payson,10350360,16.02,21.11,16.91,"c(-111.697245, 39.98249)"
Dry_Creek,10329181,0,0,0,"c(-111.669222, 40.175336)"
San_Onofre,17594757,0,0,0,"c(-120.186808, 34.500005)"
Gaviota,17594763,0,0,0,"c(-120.226251, 34.491409)"
Arroyo_Hondo,17594741,0,0,0,"c(-120.140724, 34.482489)"
Rattlesnake,14937281,0,0,0,"c(-118.842146, 35.527417)"
Crow_Creek,12794143,0,0,0,"c(-110.000742, 44.513227)"
Jones_Creek,12794005,0,0,0,"c(-110.000742, 44.557677)"
Red_Bench_Creek,22950879,0,0,0,"c(-114.405807, 48.801854)"
Wally_Creek,22950913,0,0,0,"c(-114.441002, 48.788525)"
Red_Meadow_Creek,22949989,0,0,0,"c(-114.343106, 48.80512)"
Coal_Creek,22950067,0,0,0,"c(-114.217091, 48.671562)"
Logging_Creek,22949389,0,0,0,"c(-114.147448, 48.730478)"
Akokala_Creek,22949619,0,0,0,"c(-114.296183, 48.806585)"
Bowman_Creek,22949571,0,0,0,"c(-114.273172, 48.791143)"
Quartz_Creek,22949475,0,0,0,"c(-114.222639, 48.72717)"
Trout_Creek,8944501,0,0,0,"c(-119.979685, 38.883087)"
Cold_Creek,8944471,0,0,0,"c(-119.938826, 38.901416)"
Middle_Fork,14997923,0,0,0,"c(-120.906458, 38.954107)"
North_Fork,14997117,0.09,0.17,0.30000000000000004,"c(-120.939454, 38.999913)"
Coal,22957705,0,0,0,"c(-113.679003, 48.416329)"
Pinchot,22957733,0,0,0,"c(-113.690159, 48.430741)"
Fish_Creek,22958009,7.36,7.43,1.69,"c(-113.987159, 48.552626)"
Lower_MacDonald_Creek,22957903,2.57,2.61,0.8300000000000001,"c(-113.996176, 48.52781)"
Upper_MacDonald_Creek,22957933,0.73,0.58,0.26,"c(-113.865751, 48.635873)"
DS1,2889268,0,0,0,"c(-105.419135, 40.03726)"
DS2,2889346,0,0,0,"c(-105.372034, 40.05029)"
DS3,2889356,0,0,0,"c(-105.324921, 40.015746)"
US1,2889272,0,0,0,"c(-105.46799, 40.036316)"
US2,2889272,0,0,0,"c(-105.46799, 40.036316)"
Crane_Creek,11750409,33.800000000000004,0,0,"c(-83.094099, 34.948737)"
Wash_Branch,11750421,16.56,0,0,"c(-83.077401, 34.921809)"
Control,8943655,0,0,0,"c(-120.064616, 38.866927)"
Site_1,8943617,0,0,0,"c(-120.044479, 38.874255)"
Site_2,8943617,0,0,0,"c(-120.044479, 38.874255)"
Camas_Creek,23075361,0,0,0,"c(-120.297179, 48.053257)"
Grade_Creek,23074473,0,0,0,"c(-120.254071, 48.030197)"
Rocky_Fire,8009327,13.76,13.870000000000001,6.18,"c(-122.332253, 38.925037)"
Wragg_Fire,15032969,0,0,0,"c(-122.10013, 38.499918)"
PBR,2899241,0,0,0,"c(-105.580309, 40.698081)"
PSF,2899449,0,0,0,"c(-105.477698, 40.673904)"
PNF,2900989,0,0,0,"c(-105.255326, 40.691783)"
Benjamin_Slough,10349048,3.61,4.82,3.87,"c(-111.792732, 40.113552)"
Hobble_Creek_Lower,10348934,0,0,0,"c(-111.564769, 40.147619)"
Hobble_Creek_Upper,10348934,0,0,0,"c(-111.564769, 40.147619)"
Mill_Race,10376606,0,0,0,"c(-111.661584, 40.228017)"
Mitsubishi_Race,10329067,0,0,0,"c(-111.650909, 40.188752)"
Provo_River,10376192,0,0,0,"c(-111.716234, 40.23755)"
Spanish_Fork_Lower,10349108,8.07,9.47,4.43,"c(-111.668576, 40.099751)"
Spanish_Fork_Upper,10349244,9.88,11.59,5.42,"c(-111.575562, 40.068238)"
