Study_ID,Site,Effect_size_pair,Fire_name,Fire_year,latitude,longitude,Area_watershed,burn_percentage,Reports_Size,Reports_Burn_Percentage,Reports_Coords,Have_HUC
Burd et al 2018,,,Northwest Territories Fire ,MTBS_2013Ws,,,,,,,,
Burd et al 2018,Scotty Creek,,Northwest Territories Fire ,MTBS_2013Ws,61.4,-121.433,134,0,Y,Y,Y,N_Canada
Burd et al 2018,Notawohka Creek,lnR1,Northwest Territories Fire ,MTBS_2013Ws,61.133333,-120.283333,321,>90%,Y,Y,Y,N_Canada
"Coombs & Melack, 2013",,,Gaviota Fire ,MTBS_2004Ws,,,,,,,,
"Coombs & Melack, 2013",San Onofre,lnR1,Gaviota Fire ,MTBS_2004Ws,34.472966,-120.187279,5.26,82,Y,Y,N_Hampton,Y
"Coombs & Melack, 2013",Gaviota,lnR2,Gaviota Fire ,MTBS_2004Ws,34.484966,-120.229926,52.16,12,Y,Y,N_Hampton,Y
"Coombs & Melack, 2013",Arroyo Hondo,lnR3,Gaviota Fire ,MTBS_2004Ws,34.475086,-120.14228,10.85,18,Y,Y,N_Hampton,Y
"Coombs & Melack, 2013",Rattlesnake,,Gaviota Fire ,MTBS_2004Ws,35.526656,-118.856815,5.74,NA,Y,N,N_Hampton,Y
Crandall et al. 2021,,,Pole Creek Fire Complex,MTBS_2008Ws,,,,,,,,
Crandall et al. 2021,Benjamin Slough,lnR1,Pole Creek Fire Complex,MTBS_2008Ws,40.134567,-111.791953,219,67,Y,Y,N_Google,"Y_not quite the same watershed, and the sus points doesn’t get the exact one correctly"
Crandall et al. 2021,Dry Creek,,Pole Creek Fire Complex,MTBS_2008Ws,40.180113,-111.669809,30,0,Y,Y,N_Google,"Y_not quite the same watershed, and the sus points doesn’t get the exact one correctly"
Crandall et al. 2021,Hobble Creek Lower,,Pole Creek Fire Complex,MTBS_2008Ws,40.184012,-111.647362,324,0,Y,Y,N_Google,Y_same COMID as upper
