site,latitude,longitude,comid
San_Onofre,34.472966,-120.187279,
Gaviota,34.484966,-120.229926,
Arroyo_Hondo,34.475086,-120.14228,
Rattlesnake,35.526656,-118.856815,
Crow_Creek,44.51295,-109.984156,
Jones_Creek,44.558208,-109.995153,
Red_Bench_Creek,48.81409,-114.39971,
Wally_Creek ,48.80153,-114.436506,
Red_Meadow_Creek,48.802772,-114.32894,
Coal_Creek,48.688413,-114.199739,
Logging_Creek,48.701412,-114.185106,
Akokala_Creek,48.797378,-114.286749,
Bowman_Creek,48.790458,-114.274616,
Quartz_Creek,48.72261,-114.225834,
Trout_Creek,38.88376,-119.978005,
Cold_Creek,38.898689,-119.948785,
Middle_Fork,38.958701,-120.920501,
North_Fork,39.000053,-120.939907,
Coal,48.418961,-113.696178,
Pinchot,48.42222,-113.7005555,
Fish_Creek,48.54888888,-113.9858333,
Lower_MacDonald_Creek,48.525536,-113.997184,
Upper_MacDonald_Creek,48.63527778,-113.8669444,
DS1,40.039046,-105.393878,
DS2,40.041668,-105.364823,
DS3,40.0155,-105.324566,
US1,40.036103,-105.439101,
US2,40.037791,-105.421247,
Crane_Creek ,34.937946,-83.093596,
Wash_Branch,34.920959,-83.0922,
Control,38.868,-120.062,
Site_1,38.88,-120.041,
Site_2,38.879,-120.03,
Site_3,38.873,-120.013,
Camas_Creek,48.035327,-120.291846,
Grade_Creek,48.02142,-120.255581,
Reference ,38.451372,-122.056381,
Rocky_Fire,38.923564,-122.326478,
Wragg_Fire,38.512031,-122.097228,
PBR,40.699423,-105.545085,
PSF,40.685031,-105.449096,
PNF,40.703249,-105.2424,
Benjamin_Slough,40.134567,-111.791953,
Dry_Creek,40.180113,-111.669809,
Hobble_Creek_Lower,40.184012,-111.647362,
Hobble_Creek_Upper,40.157766,-111.5979,
Mill_Race,40.200989,-111.659265,
Mitsubishi_Race,40.192393,-111.652799,
Payson,39.974595,-111.702362,
Provo_River,40.234889,-111.724869,
Spanish_Fork_Lower,40.103145,-111.681659,
Spanish_Fork_Upper,40.071704,-111.57715,
