Study_ID,Comparison_ID,Pair_Burn,Pair_Unburn,candidate_pair_id,Fire_name_metadata,Fire_year_metadata,Study_design_metadata,analytes_available,first_calendar_year,last_calendar_year,n_calendar_years,shared_control_id,n_pairs_sharing_reference,shared_reference,multi_fire_metadata,pairing_source,pairing_type_suggested,Fire_ID_Final,Pairing_Type_Final,Include,Decision_Status,Decision_Notes,Fire_ID_Analysis,Pairing_Type_Analysis,Composite_Reference_Candidate,Include_Analysis,Analysis_Decision_Status,Coauthor_Confirmation,Analysis_Assumption
Burd et al 2018,Burd_et_al_2018_C1,Site_1,Control_1,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,Northwest Territories Fire ,2013,Control/Reference vs. Impact,DOC,2016,2016,1,Burd et al 2018 | Control_1,1,false,false,effect_sizes_yearly.csv,one_to_one_candidate,,,,pending_author_review,Confirm that this is a study-designated burned-reference pair.,Burd_et_al_2018_C1,designated_one_to_one,FALSE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Coombs & Melack; 2013,Coombs_Melack_2013_C1,Site_1,Control_1_2_3,Coombs & Melack; 2013 | Coombs_Melack_2013_C1 | Site_1 | Control_1_2_3,Gaviota Fire ,2004,Control/Reference vs. Impact,NO3,2004,2005,2,Coombs & Melack; 2013 | Control_1_2_3,3,true,false,effect_sizes_yearly.csv,shared_reference_candidate,,,,pending_author_review,Multiple burned-watershed contrasts use the same reference identifier; confirm the study design and dependence handling.,Coombs_Melack_2013_C1,designated_shared_reference,TRUE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Coombs & Melack; 2013,Coombs_Melack_2013_C2,Site_2,Control_1_2_3,Coombs & Melack; 2013 | Coombs_Melack_2013_C2 | Site_2 | Control_1_2_3,Gaviota Fire ,2004,Control/Reference vs. Impact,NO3,2004,2005,2,Coombs & Melack; 2013 | Control_1_2_3,3,true,false,effect_sizes_yearly.csv,shared_reference_candidate,,,,pending_author_review,Multiple burned-watershed contrasts use the same reference identifier; confirm the study design and dependence handling.,Coombs_Melack_2013_C2,designated_shared_reference,TRUE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Control_1_2_3,Coombs & Melack; 2013 | Coombs_Melack_2013_C3 | Site_3 | Control_1_2_3,Gaviota Fire ,2004,Control/Reference vs. Impact,NO3,2004,2005,2,Coombs & Melack; 2013 | Control_1_2_3,3,true,false,effect_sizes_yearly.csv,shared_reference_candidate,,,,pending_author_review,Multiple burned-watershed contrasts use the same reference identifier; confirm the study design and dependence handling.,Coombs_Melack_2013_C3,designated_shared_reference,TRUE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Crandall et al. 2021,Crandall_et_al_2021_C1,Site_1,Control_1,Crandall et al. 2021 | Crandall_et_al_2021_C1 | Site_1 | Control_1,Pole Creek Fire Complex ,2018,Control/Reference vs. Impact,DOC;NO3,2018,2018,1,Crandall et al. 2021 | Control_1,1,false,false,effect_sizes_yearly.csv,one_to_one_candidate,,,,pending_author_review,Confirm that this is a study-designated burned-reference pair.,Crandall_et_al_2021_C1,designated_one_to_one,FALSE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Crandall et al. 2021,Crandall_et_al_2021_C2,Site_2,Control_2,Crandall et al. 2021 | Crandall_et_al_2021_C2 | Site_2 | Control_2,Pole Creek Fire Complex ,2018,Control/Reference vs. Impact,DOC;NO3,2018,2018,1,Crandall et al. 2021 | Control_2,1,false,false,effect_sizes_yearly.csv,one_to_one_candidate,,,,pending_author_review,Confirm that this is a study-designated burned-reference pair.,Crandall_et_al_2021_C2,designated_one_to_one,FALSE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Crandall et al. 2021,Crandall_et_al_2021_C3,Site_3,Control_3_4,Crandall et al. 2021 | Crandall_et_al_2021_C3 | Site_3 | Control_3_4,Pole Creek Fire Complex ,2018,Control/Reference vs. Impact,DOC;NO3,2018,2018,1,Crandall et al. 2021 | Control_3_4,2,true,false,effect_sizes_yearly.csv,shared_reference_candidate,,,,pending_author_review,Multiple burned-watershed contrasts use the same reference identifier; confirm the study design and dependence handling.,Crandall_et_al_2021_C3,designated_shared_reference,TRUE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Crandall et al. 2021,Crandall_et_al_2021_C4,Site_4,Control_3_4,Crandall et al. 2021 | Crandall_et_al_2021_C4 | Site_4 | Control_3_4,Pole Creek Fire Complex ,2018,Control/Reference vs. Impact,DOC;NO3,2018,2018,1,Crandall et al. 2021 | Control_3_4,2,true,false,effect_sizes_yearly.csv,shared_reference_candidate,,,,pending_author_review,Multiple burned-watershed contrasts use the same reference identifier; confirm the study design and dependence handling.,Crandall_et_al_2021_C4,designated_shared_reference,TRUE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,Clover-Mist Wildfire,1988,Control/Reference vs. Impact,NO3,1989,1993,5,Gerla & Galloway; 1998 | Control_1,1,false,false,effect_sizes_yearly.csv,one_to_one_candidate,,,,pending_author_review,Confirm that this is a study-designated burned-reference pair.,Gerla_Galloway_1998_C1,designated_one_to_one,FALSE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,Matt fire,1985,Control/Reference vs. Impact,NO3,1985,1988,4,Gluns & Toews; 1989 | Control_1_2,2,true,false,effect_sizes_yearly.csv,shared_reference_candidate,,,,pending_author_review,Multiple burned-watershed contrasts use the same reference identifier; confirm the study design and dependence handling.,Gluns_Toews_1989_C1,designated_shared_reference,TRUE,TRUE,provisionally_approved,pending,Pair appeared in the established lnRR workflow and is treated as previously manually reviewed for provisional analysis. Confirm with a co-author before final analysis or manuscript reporting.
